"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","CVSSv2_Severity","CVSSv2_Score","CVSSv2","CVSSv3_BaseSeverity","CVSSv3_BaseScore","CVSSv3","CPE Confidence","Evidence Count","VendorProject","Product","Name","DateAdded","ShortDescription","RequiredAction","DueDate","Notes"
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",handlebars:^4.0.3,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?istanbul-reports:1.0.0-alpha.8/handlebars:^4.0.3,"","","","",pkg:npm/handlebars@%5E4.0.3,cpe:2.3:a:handlebarsjs:handlebars:4.0.3:*:*:*:*:*:*:*,CVE-2019-20922,CWE-400 Uncontrolled Resource Consumption ('Resource Exhaustion'),Handlebars before 4.4.5 allows Regular Expression Denial of Service (ReDoS) because of eager matching. The parser may be forced into an endless loop while processing crafted templates. This may allow attackers to exhaust system resources.,NVD,HIGH,7.8,/AV:N/AC:L/Au:N/C:N/I:N/A:C,HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGHEST,12,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",handlebars:^4.0.3,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?istanbul-reports:1.0.0-alpha.8/handlebars:^4.0.3,"","","","",pkg:npm/handlebars@%5E4.0.3,cpe:2.3:a:handlebarsjs:handlebars:4.0.3:*:*:*:*:*:*:*,1085678,"","Versions of `handlebars` prior to 4.0.14 are vulnerable to Prototype Pollution. Templates may alter an Objects' prototype, thus allowing an attacker to execute arbitrary code on the server.   ## Recommendation  For handlebars 4.1.x upgrade to 4.1.2 or later. For handlebars 4.0.x upgrade to 4.0.14 or later.",NPM,"","","","","","",HIGHEST,12,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",handlebars:^4.0.3,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?istanbul-reports:1.0.0-alpha.8/handlebars:^4.0.3,"","","","",pkg:npm/handlebars@%5E4.0.3,cpe:2.3:a:handlebarsjs:handlebars:4.0.3:*:*:*:*:*:*:*,1086648,"","Versions of `handlebars` prior to 3.0.8 or 4.5.3 are vulnerable to Arbitrary Code Execution. The package's lookup helper fails to properly validate templates, allowing attackers to submit templates that execute arbitrary JavaScript in the system. It is due to an incomplete fix for a [previous issue](https://www.npmjs.com/advisories/1316). This vulnerability can be used to run arbitrary code in a server processing Handlebars templates or on a victim's browser (effectively serving as Cross-Site Scripting).   ## Recommendation  Upgrade to version 3.0.8, 4.5.3 or later.",NPM,"","","","","","",HIGHEST,12,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",handlebars:^4.0.3,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?istanbul-reports:1.0.0-alpha.8/handlebars:^4.0.3,"","","","",pkg:npm/handlebars@%5E4.0.3,cpe:2.3:a:handlebarsjs:handlebars:4.0.3:*:*:*:*:*:*:*,1086650,"","Versions of `handlebars` prior to 3.0.8 or 4.5.3 are vulnerable to prototype pollution. It is possible to add or modify properties to the Object prototype through a malicious template. This may allow attackers to crash the application or execute Arbitrary Code in specific conditions.   ## Recommendation  Upgrade to version 3.0.8, 4.5.3 or later.",NPM,"","","","","","",HIGHEST,12,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",handlebars:^4.0.3,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?istanbul-reports:1.0.0-alpha.8/handlebars:^4.0.3,"","","","",pkg:npm/handlebars@%5E4.0.3,cpe:2.3:a:handlebarsjs:handlebars:4.0.3:*:*:*:*:*:*:*,1086658,"","Versions of `handlebars` prior to 3.0.8 or 4.5.2 are vulnerable to Arbitrary Code Execution. The package's lookup helper fails to properly validate templates, allowing attackers to submit templates that execute arbitrary JavaScript in the system. It can be used to run arbitrary code in a server processing Handlebars templates or on a victim's browser (effectively serving as Cross-Site Scripting).  The following template can be used to demonstrate the vulnerability:   ```{{#with ""constructor""}} 	{{#with split as |a|}} 		{{pop (push ""alert('Vulnerable Handlebars JS');"")}} 		{{#with (concat (lookup join (slice 0 1)))}} 			{{#each (slice 2 3)}} 				{{#with (apply 0 a)}} 					{{.}} 				{{/with}} 			{{/each}} 		{{/with}} 	{{/with}} {{/with}}```   ## Recommendation  Upgrade to version 3.0.8, 4.5.2 or later.",NPM,"","","","","","",HIGHEST,12,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",handlebars:^4.0.3,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?istanbul-reports:1.0.0-alpha.8/handlebars:^4.0.3,"","","","",pkg:npm/handlebars@%5E4.0.3,cpe:2.3:a:handlebarsjs:handlebars:4.0.3:*:*:*:*:*:*:*,1089853,"","Handlebars before 3.0.8 and 4.x before 4.5.3 is vulnerable to Arbitrary Code Execution. The lookup helper fails to properly validate templates, allowing attackers to submit templates that execute arbitrary JavaScript. This can be used to run arbitrary code on a server processing Handlebars templates or in a victim's browser (effectively serving as XSS).",NPM,"","","","","","",HIGHEST,12,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",handlebars:^4.0.3,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?istanbul-reports:1.0.0-alpha.8/handlebars:^4.0.3,"","","","",pkg:npm/handlebars@%5E4.0.3,cpe:2.3:a:handlebarsjs:handlebars:4.0.3:*:*:*:*:*:*:*,1089855,"",Handlebars before 4.4.5 allows Regular Expression Denial of Service (ReDoS) because of eager matching. The parser may be forced into an endless loop while processing crafted templates. This may allow attackers to exhaust system resources.,NPM,"","","","","","",HIGHEST,12,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",handlebars:^4.0.3,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?istanbul-reports:1.0.0-alpha.8/handlebars:^4.0.3,"","","","",pkg:npm/handlebars@%5E4.0.3,cpe:2.3:a:handlebarsjs:handlebars:4.0.3:*:*:*:*:*:*:*,1086668,"",Affected versions of `handlebars` are vulnerable to Denial of Service. The package's parser may be forced into an endless loop while processing specially-crafted templates. This may allow attackers to exhaust system resources leading to Denial of Service.   ## Recommendation  Upgrade to version 4.4.5 or later.,NPM,"","","","","","",HIGHEST,12,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",hawk:1.0.0,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?/hawk:1.0.0,HTTP Hawk Authentication Scheme,"","","",pkg:npm/hawk@1.0.0,cpe:2.3:a:hawk_project:hawk:1.0.0:*:*:*:*:*:*:*,CVE-2016-2515,CWE-400 Uncontrolled Resource Consumption ('Resource Exhaustion'),"hawk Regular Expression Denial of Service - NPM  The software does not properly restrict the size or amount of resources that are requested or influenced by an actor, which can be used to consume more resources than intended.",OSSINDEX,"","","",HIGH,7.5,CVSS:/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGHEST,6,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",hawk:1.0.0,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?/hawk:1.0.0,HTTP Hawk Authentication Scheme,"","","",pkg:npm/hawk@1.0.0,cpe:2.3:a:hawk_project:hawk:1.0.0:*:*:*:*:*:*:*,CVE-2022-29167,CWE-400 Uncontrolled Resource Consumption ('Resource Exhaustion'),"Hawk is an HTTP authentication scheme providing mechanisms for making authenticated HTTP requests with partial cryptographic verification of the request and response, covering the HTTP method, request URI, host, and optionally the request payload. Hawk used a regular expression to parse `Host` HTTP header (`Hawk.utils.parseHost()`), which was subject to regular expression DoS attack - meaning each added character in the attacker's input increases the computation time exponentially. `parseHost()` was patched in `9.0.1` to use built-in `URL` class to parse hostname instead. `Hawk.authenticate()` accepts `options` argument. If that contains `host` and `port`, those would be used instead of a call to `utils.parseHost()`.  Sonatype's research suggests that this CVE's details differ from those defined at NVD. See https://ossindex.sonatype.org/vulnerability/CVE-2022-29167 for details",OSSINDEX,HIGH,7.5,/AV:N/AC:L/Au:/C:N/I:N/A:H,"","","",HIGHEST,6,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",hawk:1.0.0,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?/hawk:1.0.0,HTTP Hawk Authentication Scheme,"","","",pkg:npm/hawk@1.0.0,cpe:2.3:a:hawk_project:hawk:1.0.0:*:*:*:*:*:*:*,1089003,"","Hawk is an HTTP authentication scheme providing mechanisms for making authenticated HTTP requests with partial cryptographic verification of the request and response, covering the HTTP method, request URI, host, and optionally the request payload. Hawk used a regular expression to parse `Host` HTTP header (`Hawk.utils.parseHost()`), which was subject to regular expression DoS attack - meaning each added character in the attacker's input increases the computation time exponentially. `parseHost()` was patched in `9.0.1` to use built-in `URL` class to parse hostname instead.`Hawk.authenticate()` accepts `options` argument. If that contains `host` and `port`, those would be used instead of a call to `utils.parseHost()`.",NPM,"","","","","","",HIGHEST,6,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",hawk:1.0.0,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?/hawk:1.0.0,HTTP Hawk Authentication Scheme,"","","",pkg:npm/hawk@1.0.0,cpe:2.3:a:hawk_project:hawk:1.0.0:*:*:*:*:*:*:*,1090976,"","Versions of `hawk` prior to 3.1.3, or 4.x prior to 4.1.1 are affected by a regular expression denial of service vulnerability related to excessively long headers and URI's.    ## Recommendation  Update to hawk version 4.1.1 or later.",NPM,"","","","","","",HIGHEST,6,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",hawk:3.1.3,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?/hawk:3.1.3,HTTP Hawk Authentication Scheme,BSD-3-Clause,"","",pkg:npm/hawk@3.1.3,cpe:2.3:a:hawk_project:hawk:3.1.3:*:*:*:*:*:*:*,CVE-2022-29167,CWE-400 Uncontrolled Resource Consumption ('Resource Exhaustion'),"Hawk is an HTTP authentication scheme providing mechanisms for making authenticated HTTP requests with partial cryptographic verification of the request and response, covering the HTTP method, request URI, host, and optionally the request payload. Hawk used a regular expression to parse `Host` HTTP header (`Hawk.utils.parseHost()`), which was subject to regular expression DoS attack - meaning each added character in the attacker's input increases the computation time exponentially. `parseHost()` was patched in `9.0.1` to use built-in `URL` class to parse hostname instead. `Hawk.authenticate()` accepts `options` argument. If that contains `host` and `port`, those would be used instead of a call to `utils.parseHost()`.  Sonatype's research suggests that this CVE's details differ from those defined at NVD. See https://ossindex.sonatype.org/vulnerability/CVE-2022-29167 for details",OSSINDEX,HIGH,7.5,/AV:N/AC:L/Au:/C:N/I:N/A:H,"","","",HIGHEST,13,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",helmet-csp:1.2.2,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?/helmet-csp:1.2.2,Content Security Policy middleware.,MIT,"","",pkg:npm/helmet-csp@1.2.2,"",1086769,"","Versions of `helmet-csp` before to 2.9.1 are vulnerable to a Configuration Override affecting the application's Content Security Policy (CSP). The package's browser sniffing for Firefox deletes the `default-src` CSP policy, which is the fallback policy. This allows an attacker to remove an application's default CSP, possibly rendering the application vulnerable to Cross-Site Scripting.   ## Recommendation  Upgrade to version 2.9.1 or later. Setting the `browserSniff` configuration to `false` in vulnerable versions also mitigates the issue.",NPM,"","","","","","",HIGHEST,7,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",hoek:0.9.1,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?/hoek:0.9.1,General purpose node utilities,"","","",pkg:npm/hoek@0.9.1,"",CVE-2018-3728,CWE-471 Modification of Assumed-Immutable Data (MAID),"hoek node module before 4.2.0 and 5.0.x before 5.0.3 suffers from a Modification of Assumed-Immutable Data (MAID) vulnerability via 'merge' and 'applyToDefaults' functions, which allows a malicious user to modify the prototype of ""Object"" via __proto__, causing the addition or modification of an existing property that will exist on all objects.",OSSINDEX,"","","",HIGH,8.8,CVSS:/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,HIGHEST,6,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",hoek:0.9.1,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?/hoek:0.9.1,General purpose node utilities,"","","",pkg:npm/hoek@0.9.1,"",1090996,"","Versions of `hoek` prior to 4.2.1 and 5.0.3 are vulnerable to prototype pollution.  The `merge` function, and the `applyToDefaults` and `applyToDefaultsWithShallow` functions which leverage `merge` behind the scenes, are vulnerable to a prototype pollution attack when provided an _unvalidated_ payload created from a JSON string containing the `__proto__` property.  This can be demonstrated like so:  ```javascript var Hoek = require('hoek'); var malicious_payload = '{""__proto__"":{""oops"":""It works !""}}';  var a = {}; console.log(""Before : "" + a.oops); Hoek.merge({}, JSON.parse(malicious_payload)); console.log(""After : "" + a.oops); ```  This type of attack can be used to overwrite existing properties causing a potential denial of service.   ## Recommendation  Update to version 4.2.1, 5.0.3 or later.",NPM,"","","","","","",HIGHEST,6,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",hoek:2.16.3,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?sntp:1.0.9/hoek:2.x.x,General purpose node utilities,BSD-3-Clause,"","",pkg:npm/hoek@2.16.3,"",CVE-2018-3728,CWE-471 Modification of Assumed-Immutable Data (MAID),"hoek node module before 4.2.0 and 5.0.x before 5.0.3 suffers from a Modification of Assumed-Immutable Data (MAID) vulnerability via 'merge' and 'applyToDefaults' functions, which allows a malicious user to modify the prototype of ""Object"" via __proto__, causing the addition or modification of an existing property that will exist on all objects.",OSSINDEX,"","","",HIGH,8.8,CVSS:/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,HIGHEST,13,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",hosted-git-info:2.1.5,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?/hosted-git-info:2.1.5,"Provides metadata and conversions from repository urls for Github, Bitbucket and Gitlab",ISC,"","",pkg:npm/hosted-git-info@2.1.5,"",1089809,"",The npm package `hosted-git-info` before 3.0.8 are vulnerable to Regular Expression Denial of Service (ReDoS) via regular expression shortcutMatch in the fromUrl function in index.js. The affected regular expression exhibits polynomial worst-case time complexity,NPM,"","","","","","",HIGHEST,16,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",ini:1.3.4,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?/ini:1.3.4,An ini encoder/decoder for node,ISC,"","",pkg:npm/ini@1.3.4,cpe:2.3:a:ini_project:ini:1.3.4:*:*:*:*:*:*:*,CVE-2020-7788,CWE-1321,"This affects the package ini before 1.3.6. If an attacker submits a malicious INI file to an application that parses it with ini.parse, they will pollute the prototype on the application. This can be exploited further depending on the context.",NVD,HIGH,7.5,/AV:N/AC:L/Au:N/C:P/I:P/A:P,CRITICAL,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGHEST,10,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",ini:1.3.4,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?/ini:1.3.4,An ini encoder/decoder for node,ISC,"","",pkg:npm/ini@1.3.4,cpe:2.3:a:ini_project:ini:1.3.4:*:*:*:*:*:*:*,1091252,"","### Overview The `ini` npm package before version 1.3.6 has a Prototype Pollution vulnerability.  If an attacker submits a malicious INI file to an application that parses it with `ini.parse`, they will pollute the prototype on the application. This can be exploited further depending on the context.  ### Patches  This has been patched in 1.3.6.  ### Steps to reproduce  payload.ini ``` [__proto__] polluted = ""polluted"" ```  poc.js: ``` var fs = require('fs') var ini = require('ini')  var parsed = ini.parse(fs.readFileSync('./payload.ini', 'utf-8')) console.log(parsed) console.log(parsed.__proto__) console.log(polluted) ```  ``` > node poc.js {} { polluted: 'polluted' } { polluted: 'polluted' } polluted ```",NPM,"","","","","","",HIGHEST,10,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",is-my-json-valid:2.15.0,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?/is-my-json-valid:2.15.0,A JSONSchema validator that uses code generation to be extremely fast,MIT,"","",pkg:npm/is-my-json-valid@2.15.0,"cpe:2.3:a:is-my-json-valid_project:is-my-json-valid:2.15.0:*:*:*:*:*:*:*, cpe:2.3:a:is_my_json_valid_project:is_my_json_valid:2.15.0:*:*:*:*:*:*:*",1090840,"","Version of `is-my-json-valid` before 1.4.1 or 2.17.2 are vulnerable to regular expression denial of service (ReDoS) via the email validation function.   ## Recommendation  Update to version 1.4.1, 2.17.2 or later.",NPM,"","","","","","",HIGHEST,19,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",is-my-json-valid:2.15.0,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?/is-my-json-valid:2.15.0,A JSONSchema validator that uses code generation to be extremely fast,MIT,"","",pkg:npm/is-my-json-valid@2.15.0,"cpe:2.3:a:is-my-json-valid_project:is-my-json-valid:2.15.0:*:*:*:*:*:*:*, cpe:2.3:a:is_my_json_valid_project:is_my_json_valid:2.15.0:*:*:*:*:*:*:*",CVE-2018-1107,CWE-400 Uncontrolled Resource Consumption ('Resource Exhaustion'),It was discovered that the is-my-json-valid JavaScript library used an inefficient regular expression to validate JSON fields defined to have email format. A specially crafted JSON file could cause it to consume an excessive amount of CPU time when validated.,NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:N/I:N/A:P,MEDIUM,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,HIGHEST,19,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",is-my-json-valid:2.15.0,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?/is-my-json-valid:2.15.0,A JSONSchema validator that uses code generation to be extremely fast,MIT,"","",pkg:npm/is-my-json-valid@2.15.0,"cpe:2.3:a:is-my-json-valid_project:is-my-json-valid:2.15.0:*:*:*:*:*:*:*, cpe:2.3:a:is_my_json_valid_project:is_my_json_valid:2.15.0:*:*:*:*:*:*:*",1089938,"",It was discovered that the is-my-json-valid JavaScript library used an inefficient regular expression to validate JSON fields defined to have email format. A specially crafted JSON file could cause it to consume an excessive amount of CPU time when validated.,NPM,"","","","","","",HIGHEST,19,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",jquery-1.3.2.js,/Users/andrewhaigh/Projects/Git/NodeGoat/node_modules/selenium-webdriver/lib/test/data/jquery-1.3.2.js,"","",e4af2b4805203f1ac490ad67531b848b,58b83c75c0ce6d70066070cbce6ccfa90a575923,pkg:javascript/jquery@1.3.2,"",CVE-2012-6708,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"jQuery before 1.9.0 is vulnerable to Cross-site Scripting (XSS) attacks. The jQuery(strInput) function does not differentiate selectors from HTML in a reliable fashion. In vulnerable versions, jQuery determined whether the input was HTML by looking for the '<' character anywhere in the string, giving attackers more flexibility when attempting to construct a malicious payload. In fixed versions, jQuery only deems the input to be HTML if it explicitly starts with the '<' character, limiting exploitability only to attackers who can control the beginning of a string, which is far less common.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,HIGHEST,3,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",jquery-1.3.2.js,/Users/andrewhaigh/Projects/Git/NodeGoat/node_modules/selenium-webdriver/lib/test/data/jquery-1.3.2.js,"","",e4af2b4805203f1ac490ad67531b848b,58b83c75c0ce6d70066070cbce6ccfa90a575923,pkg:javascript/jquery@1.3.2,"",CVE-2019-11358,CWE-1321,"jQuery before 3.4.0, as used in Drupal, Backdrop CMS, and other products, mishandles jQuery.extend(true, {}, ...) because of Object.prototype pollution. If an unsanitized source object contained an enumerable __proto__ property, it could extend the native Object.prototype.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,HIGHEST,3,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",jquery-1.3.2.js,/Users/andrewhaigh/Projects/Git/NodeGoat/node_modules/selenium-webdriver/lib/test/data/jquery-1.3.2.js,"","",e4af2b4805203f1ac490ad67531b848b,58b83c75c0ce6d70066070cbce6ccfa90a575923,pkg:javascript/jquery@1.3.2,"",CVE-2020-11022,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"In jQuery versions greater than or equal to 1.2 and before 3.5.0, passing HTML from untrusted sources - even after sanitizing it - to one of jQuery's DOM manipulation methods (i.e. .html(), .append(), and others) may execute untrusted code. This problem is patched in jQuery 3.5.0.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,HIGHEST,3,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",jquery-1.3.2.js,/Users/andrewhaigh/Projects/Git/NodeGoat/node_modules/selenium-webdriver/lib/test/data/jquery-1.3.2.js,"","",e4af2b4805203f1ac490ad67531b848b,58b83c75c0ce6d70066070cbce6ccfa90a575923,pkg:javascript/jquery@1.3.2,"",CVE-2020-11023,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"In jQuery versions greater than or equal to 1.0.3 and before 3.5.0, passing HTML containing <option> elements from untrusted sources - even after sanitizing it - to one of jQuery's DOM manipulation methods (i.e. .html(), .append(), and others) may execute untrusted code. This problem is patched in jQuery 3.5.0.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,HIGHEST,3,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",jquery-1.3.2.js,/Users/andrewhaigh/Projects/Git/NodeGoat/node_modules/selenium-webdriver/lib/test/data/jquery-1.3.2.js,"","",e4af2b4805203f1ac490ad67531b848b,58b83c75c0ce6d70066070cbce6ccfa90a575923,pkg:javascript/jquery@1.3.2,"",CVE-2011-4969,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"Cross-site scripting (XSS) vulnerability in jQuery before 1.6.3, when using location.hash to select elements, allows remote attackers to inject arbitrary web script or HTML via a crafted tag.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,"","","",HIGHEST,3,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",jquery-1.4.4.min.js,/Users/andrewhaigh/Projects/Git/NodeGoat/node_modules/selenium-webdriver/lib/test/data/js/jquery-1.4.4.min.js,"","",73a9c334c5ca71d70d092b42064f6476,b75990598ee8d3895448ed9d08726af63109f842,pkg:javascript/jquery@1.4.4.min,"",CVE-2012-6708,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"jQuery before 1.9.0 is vulnerable to Cross-site Scripting (XSS) attacks. The jQuery(strInput) function does not differentiate selectors from HTML in a reliable fashion. In vulnerable versions, jQuery determined whether the input was HTML by looking for the '<' character anywhere in the string, giving attackers more flexibility when attempting to construct a malicious payload. In fixed versions, jQuery only deems the input to be HTML if it explicitly starts with the '<' character, limiting exploitability only to attackers who can control the beginning of a string, which is far less common.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,HIGHEST,3,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",jquery-1.4.4.min.js,/Users/andrewhaigh/Projects/Git/NodeGoat/node_modules/selenium-webdriver/lib/test/data/js/jquery-1.4.4.min.js,"","",73a9c334c5ca71d70d092b42064f6476,b75990598ee8d3895448ed9d08726af63109f842,pkg:javascript/jquery@1.4.4.min,"",CVE-2015-9251,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"jQuery before 3.0.0 is vulnerable to Cross-site Scripting (XSS) attacks when a cross-domain Ajax request is performed without the dataType option, causing text/javascript responses to be executed.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,HIGHEST,3,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",jquery-1.4.4.min.js,/Users/andrewhaigh/Projects/Git/NodeGoat/node_modules/selenium-webdriver/lib/test/data/js/jquery-1.4.4.min.js,"","",73a9c334c5ca71d70d092b42064f6476,b75990598ee8d3895448ed9d08726af63109f842,pkg:javascript/jquery@1.4.4.min,"",CVE-2019-11358,CWE-1321,"jQuery before 3.4.0, as used in Drupal, Backdrop CMS, and other products, mishandles jQuery.extend(true, {}, ...) because of Object.prototype pollution. If an unsanitized source object contained an enumerable __proto__ property, it could extend the native Object.prototype.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,HIGHEST,3,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",jquery-1.4.4.min.js,/Users/andrewhaigh/Projects/Git/NodeGoat/node_modules/selenium-webdriver/lib/test/data/js/jquery-1.4.4.min.js,"","",73a9c334c5ca71d70d092b42064f6476,b75990598ee8d3895448ed9d08726af63109f842,pkg:javascript/jquery@1.4.4.min,"",CVE-2020-11022,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"In jQuery versions greater than or equal to 1.2 and before 3.5.0, passing HTML from untrusted sources - even after sanitizing it - to one of jQuery's DOM manipulation methods (i.e. .html(), .append(), and others) may execute untrusted code. This problem is patched in jQuery 3.5.0.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,HIGHEST,3,"","","","","","","",""
