Summary,CVEs,Severity,Type,Provider,Component,Infected Version,Fix Version,Edited,Component Versions Id,CVSS v2,CVSS v3,Cwe,Id,Is Source Root,Source Comp Id,Source Id
"When a POST request comes through AJP and the request exceeds the max-post-size limit (maxEntitySize), Undertow's AjpServerRequestConduit implementation closes a connection without sending any response to the client/proxy. This behavior results in that a front-end proxy marking the backend worker (application server) as an error state and not forward requests to the worker for a while. In mod_cluster, this continues until the next STATUS request (10 seconds intervals) from the application server updates the server state. So, in the worst case, it can result in ""All workers are in error state"" and mod_cluster responds ""503 Service Unavailable"" for a while (up to 10 seconds). In mod_proxy_balancer, it does not forward requests to the worker until the ""retry"" timeout passes. However, luckily, mod_proxy_balancer has ""forcerecovery"" setting (On by default; this parameter can force the immediate recovery of all workers without considering the retry parameter of the workers if all workers of a balancer are in error state.). So, unlike mod_cluster, mod_proxy_balancer does not result in responding ""503 Service Unavailable"". An attacker could use this behavior to send a malicious request and trigger server errors, resulting in DoS (denial of service). This flaw was fixed in Undertow 2.2.19.Final, Undertow 2.3.0.Alpha2.",CVE-2022-2053,High,security,JFrog,io.undertow:undertow-core,"< 2.2.19.Final,2.3.0.Alpha1 ≤ Version < 2.3.0.Alpha2","2.2.19.Final,2.3.0.Alpha2",2023-02-01T21:15:22-05:00,io.undertow:undertow-core,,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-400,XRAY-248514,FALSE,gav://io.undertow:undertow-core:2.2.18.Final,gav://io.undertow:undertow-core
"In FasterXML jackson-databind before 2.13.4, resource exhaustion can occur because of a lack of a check in BeanDeserializer._deserializeFromArray to prevent use of deeply nested arrays. An application is vulnerable only with certain customized choices for deserialization.",CVE-2022-42004,High,security,JFrog,com.fasterxml.jackson.core:jackson-databind,"< 2.12.7.1,2.13.0 ≤ Version < 2.13.4","2.12.7.1,2.13.4",2023-02-01T21:17:09-05:00,com.fasterxml.jackson.core:jackson-databind,,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-502,XRAY-256564,FALSE,gav://com.fasterxml.jackson.core:jackson-databind:2.13.3,gav://com.fasterxml.jackson.core:jackson-databind
"XStream is a simple library to serialize objects to XML and back again. In affected versions this vulnerability may allow a remote attacker to load and execute arbitrary code from a remote host only by manipulating the processed input stream. No user is affected, who followed the recommendation to setup XStream's security framework with a whitelist limited to the minimal required types. XStream 1.4.18 uses no longer a blacklist by default, since it cannot be secured for general purpose.",CVE-2021-39154,High,security,JFrog,com.thoughtworks.xstream:xstream,< 1.4.18,1.4.18,2023-02-01T21:15:22-05:00,com.thoughtworks.xstream:xstream,6.0/CVSS:2.0/AV:N/AC:M/Au:S/C:P/I:P/A:P,8.5/CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:C/C:H/I:H/A:H,"CWE-434,CWE-502",XRAY-183304,FALSE,gav://com.thoughtworks.xstream:xstream:1.4.5,gav://com.thoughtworks.xstream:xstream
Apache Commons IO input/InfiniteCircularInputStream.java InfiniteCircularInputStream::read() Function Buffer Handling Divide-by-zero DoS,,High,security,JFrog,commons-io:commons-io,2.6 ≤ Version < 2.8.0-RC1,2.8.0-RC1,2022-03-22T23:14:05-04:00,commons-io:commons-io,,,,XRAY-125253,FALSE,gav://commons-io:commons-io:2.6,gav://commons-io:commons-io
"In FasterXML jackson-databind before 2.14.0-rc1, resource exhaustion can occur because of a lack of a check in primitive value deserializers to avoid deep wrapper array nesting, when the UNWRAP_SINGLE_VALUE_ARRAYS feature is enabled. Additional fix version in 2.13.4.1 and 2.12.17.1",CVE-2022-42003,High,security,JFrog,com.fasterxml.jackson.core:jackson-databind,"< 2.12.7.1,2.13.0 ≤ Version < 2.13.4.1","2.12.7.1,2.13.4.1",2023-02-01T21:15:22-05:00,com.fasterxml.jackson.core:jackson-databind,,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-502,XRAY-256565,FALSE,gav://com.fasterxml.jackson.core:jackson-databind:2.13.3,gav://com.fasterxml.jackson.core:jackson-databind
XStream before version 1.4.14 is vulnerable to Remote Code Execution.The vulnerability may allow a remote attacker to run arbitrary shell commands only by manipulating the processed input stream. Only users who rely on blocklists are affected. Anyone using XStream's Security Framework allowlist is not affected. The linked advisory provides code workarounds for users who cannot upgrade. The issue is fixed in version 1.4.14.,CVE-2020-26217,High,security,JFrog,com.thoughtworks.xstream:xstream,< 1.4.14-jdk7,1.4.14-jdk7,2023-02-01T21:17:28-05:00,com.thoughtworks.xstream:xstream,9.3/CVSS:2.0/AV:N/AC:M/Au:N/C:C/I:C/A:C,8.8/CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,CWE-78,XRAY-128380,FALSE,gav://com.thoughtworks.xstream:xstream:1.4.5,gav://com.thoughtworks.xstream:xstream
"XStream is a simple library to serialize objects to XML and back again. In affected versions this vulnerability may allow a remote attacker to load and execute arbitrary code from a remote host only by manipulating the processed input stream. No user is affected, who followed the recommendation to setup XStream's security framework with a whitelist limited to the minimal required types. XStream 1.4.18 uses no longer a blacklist by default, since it cannot be secured for general purpose.",CVE-2021-39149,High,security,JFrog,com.thoughtworks.xstream:xstream,< 1.4.18,1.4.18,2023-02-01T21:16:21-05:00,com.thoughtworks.xstream:xstream,6.0/CVSS:2.0/AV:N/AC:M/Au:S/C:P/I:P/A:P,8.5/CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:C/C:H/I:H/A:H,"CWE-434,CWE-502",XRAY-183380,FALSE,gav://com.thoughtworks.xstream:xstream:1.4.5,gav://com.thoughtworks.xstream:xstream
"XStream is a Java library to serialize objects to XML and back again. In XStream before version 1.4.16, there is a vulnerability which may allow a remote attacker to request data from internal resources that are not publicly available only by manipulating the processed input stream. No user is affected, who followed the recommendation to setup XStream's security framework with a whitelist limited to the minimal required types. If you rely on XStream's default blacklist of the Security Framework, you will have to use at least version 1.4.16.",CVE-2021-21349,High,security,JFrog,com.thoughtworks.xstream:xstream,< 1.4.16,1.4.16,2023-02-01T21:15:58-05:00,com.thoughtworks.xstream:xstream,5.0/CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:N/A:N,8.6/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:N/A:N,"CWE-502,CWE-918",XRAY-157670,FALSE,gav://com.thoughtworks.xstream:xstream:1.4.5,gav://com.thoughtworks.xstream:xstream
"XStream is a Java library to serialize objects to XML and back again. In XStream before version 1.4.16, there is a vulnerability which may allow a remote attacker to occupy a thread that consumes maximum CPU time and will never return. No user is affected, who followed the recommendation to setup XStream's security framework with a whitelist limited to the minimal required types. If you rely on XStream's default blacklist of the Security Framework, you will have to use at least version 1.4.16.",CVE-2021-21348,High,security,JFrog,com.thoughtworks.xstream:xstream,< 1.4.16,1.4.16,2023-02-01T21:15:58-05:00,com.thoughtworks.xstream:xstream,7.8/CVSS:2.0/AV:N/AC:L/Au:N/C:N/I:N/A:C,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-400,XRAY-157671,FALSE,gav://com.thoughtworks.xstream:xstream:1.4.5,gav://com.thoughtworks.xstream:xstream
The package org.yaml:snakeyaml from 0 and before 1.31 are vulnerable to Denial of Service (DoS) due missing to nested depth limitation for collections.,CVE-2022-25857,High,security,JFrog,org.yaml:snakeyaml,< 1.31,1.31,2023-02-01T21:15:22-05:00,org.yaml:snakeyaml,,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-400,XRAY-253124,FALSE,gav://org.yaml:snakeyaml:1.30,gav://org.yaml:snakeyaml
The package org.yaml:snakeyaml from 0 and before 1.31 are vulnerable to Denial of Service (DoS) due missing to nested depth limitation for collections.,CVE-2022-25857,High,security,JFrog,org.yaml:snakeyaml,< 1.31,1.31,2023-02-01T21:15:22-05:00,org.yaml:snakeyaml,,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-400,XRAY-253124,FALSE,gav://org.yaml:snakeyaml:1.28,gav://org.yaml:snakeyaml
"XStream is a simple library to serialize objects to XML and back again. In affected versions this vulnerability may allow a remote attacker to load and execute arbitrary code from a remote host only by manipulating the processed input stream. A user is only affected if using the version out of the box with JDK 1.7u21 or below. However, this scenario can be adjusted easily to an external Xalan that works regardless of the version of the Java runtime. No user is affected, who followed the recommendation to setup XStream's security framework with a whitelist limited to the minimal required types. XStream 1.4.18 uses no longer a blacklist by default, since it cannot be secured for general purpose.",CVE-2021-39139,High,security,JFrog,com.thoughtworks.xstream:xstream,< 1.4.18,1.4.18,2023-02-01T21:15:22-05:00,com.thoughtworks.xstream:xstream,6.5/CVSS:2.0/AV:N/AC:L/Au:S/C:P/I:P/A:P,8.8/CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,"CWE-434,CWE-502",XRAY-183388,FALSE,gav://com.thoughtworks.xstream:xstream:1.4.5,gav://com.thoughtworks.xstream:xstream
"Multiple XML external entity (XXE) vulnerabilities in the (1) Dom4JDriver, (2) DomDriver, (3) JDomDriver, (4) JDom2Driver, (5) SjsxpDriver, (6) StandardStaxDriver, and (7) WstxDriver drivers in XStream before 1.4.9 allow remote attackers to read arbitrary files via a crafted XML document.",CVE-2016-3674,High,security,JFrog,com.thoughtworks.xstream:xstream,< 1.4.9,1.4.9,2023-02-01T21:15:22-05:00,com.thoughtworks.xstream:xstream,5.0/CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:N/A:N,7.5/CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,CWE-200,XRAY-55888,FALSE,gav://com.thoughtworks.xstream:xstream:1.4.5,gav://com.thoughtworks.xstream:xstream
"XStream is a Java library to serialize objects to XML and back again. In XStream before version 1.4.16, there is vulnerability which may allow a remote attacker to allocate 100% CPU time on the target system depending on CPU type or parallel execution of such a payload resulting in a denial of service only by manipulating the processed input stream. No user is affected who followed the recommendation to setup XStream's security framework with a whitelist limited to the minimal required types. If you rely on XStream's default blacklist of the Security Framework, you will have to use at least version 1.4.16.",CVE-2021-21341,High,security,JFrog,com.thoughtworks.xstream:xstream,< 1.4.16,1.4.16,2023-02-01T21:15:58-05:00,com.thoughtworks.xstream:xstream,7.1/CVSS:2.0/AV:N/AC:M/Au:N/C:N/I:N/A:C,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"CWE-502,CWE-400",XRAY-157350,FALSE,gav://com.thoughtworks.xstream:xstream:1.4.5,gav://com.thoughtworks.xstream:xstream
"Those using Xstream to seralize XML data may be vulnerable to Denial of Service attacks (DOS). If the parser is running on user supplied input, an attacker may supply content that causes the parser to crash by stackoverflow. This effect may support a denial of service attack.",CVE-2022-40151,High,security,JFrog,com.thoughtworks.xstream:xstream,≤ 1.4.19,,2023-02-01T21:16:56-05:00,com.thoughtworks.xstream:xstream,,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-787,XRAY-255586,FALSE,gav://com.thoughtworks.xstream:xstream:1.4.5,gav://com.thoughtworks.xstream:xstream
"XStream is a simple library to serialize objects to XML and back again. In affected versions this vulnerability may allow a remote attacker to request data from internal resources that are not publicly available only by manipulating the processed input stream with a Java runtime version 14 to 8. No user is affected, who followed the recommendation to setup XStream's security framework with a whitelist limited to the minimal required types. If you rely on XStream's default blacklist of the [Security Framework](https://x-stream.github.io/security.html#framework), you will have to use at least version 1.4.18.",CVE-2021-39152,High,security,JFrog,com.thoughtworks.xstream:xstream,< 1.4.18,1.4.18,2023-02-01T21:16:21-05:00,com.thoughtworks.xstream:xstream,6.0/CVSS:2.0/AV:N/AC:M/Au:S/C:P/I:P/A:P,8.5/CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:C/C:H/I:H/A:H,"CWE-502,CWE-918",XRAY-183377,FALSE,gav://com.thoughtworks.xstream:xstream:1.4.5,gav://com.thoughtworks.xstream:xstream
"XStream is a Java library to serialize objects to XML and back again. In XStream before version 1.4.16, there is a vulnerability where the processed stream at unmarshalling time contains type information to recreate the formerly written objects. XStream creates therefore new instances based on these type information. An attacker can manipulate the processed input stream and replace or inject objects, that result in the deletion of a file on the local host. No user is affected, who followed the recommendation to setup XStream's security framework with a whitelist limited to the minimal required types. If you rely on XStream's default blacklist of the Security Framework, you will have to use at least version 1.4.16.",CVE-2021-21343,High,security,JFrog,com.thoughtworks.xstream:xstream,< 1.4.16,1.4.16,2023-02-01T21:15:58-05:00,com.thoughtworks.xstream:xstream,5.0/CVSS:2.0/AV:N/AC:L/Au:N/C:N/I:P/A:N,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,"CWE-73,CWE-502",XRAY-157676,FALSE,gav://com.thoughtworks.xstream:xstream:1.4.5,gav://com.thoughtworks.xstream:xstream
"Using snakeYAML to parse untrusted YAML files may be vulnerable to Denial of Service attacks (DOS). If the parser is running on user supplied input, an attacker may supply content that causes the parser to crash by stackoverflow.",CVE-2022-38751,Medium,security,JFrog,org.yaml:snakeyaml,< 1.31,1.31,2023-02-01T21:16:56-05:00,org.yaml:snakeyaml,,6.5/CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,CWE-787,XRAY-253428,FALSE,gav://org.yaml:snakeyaml:1.30,gav://org.yaml:snakeyaml
"In Bootstrap 3.x before 3.4.0 and 4.x-beta before 4.0.0-beta.2, XSS is possible in the data-target attribute, a different vulnerability than CVE-2018-14041.",CVE-2016-10735,Medium,security,JFrog,bootstrap,3.0.0 ≤ Version < 3.4.0,3.4.0,2023-02-01T21:15:22-05:00,bootstrap,4.3/CVSS:2.0/AV:N/AC:M/Au:N/C:N/I:P/A:N,6.1/CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,CWE-79,XRAY-75283,FALSE,npm://bootstrap:3.1.1,npm://bootstrap
"Using snakeYAML to parse untrusted YAML files may be vulnerable to Denial of Service attacks (DOS). If the parser is running on user supplied input, an attacker may supply content that causes the parser to crash by stack-overflow.",CVE-2022-38752,Medium,security,JFrog,org.yaml:snakeyaml,< 1.32,1.32,2023-02-01T21:16:56-05:00,org.yaml:snakeyaml,,6.5/CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,CWE-787,XRAY-253427,FALSE,gav://org.yaml:snakeyaml:1.28,gav://org.yaml:snakeyaml
"Using snakeYAML to parse untrusted YAML files may be vulnerable to Denial of Service attacks (DOS). If the parser is running on user supplied input, an attacker may supply content that causes the parser to crash by stack-overflow.",CVE-2022-38752,Medium,security,JFrog,org.yaml:snakeyaml,< 1.32,1.32,2023-02-01T21:16:56-05:00,org.yaml:snakeyaml,,6.5/CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,CWE-787,XRAY-253427,FALSE,gav://org.yaml:snakeyaml:1.30,gav://org.yaml:snakeyaml
Bootstrap js/dropdown.js selector Handling XSS,,Medium,security,JFrog,bootstrap,2.3.0 ≤ Version < 3.4.0,3.4.0,2020-04-08T07:57:02-04:00,bootstrap,,,,XRAY-80588,FALSE,npm://bootstrap:3.1.1,npm://bootstrap
"Using snakeYAML to parse untrusted YAML files may be vulnerable to Denial of Service attacks (DOS). If the parser is running on user supplied input, an attacker may supply content that causes the parser to crash by stackoverflow.",CVE-2022-38750,Medium,security,JFrog,org.yaml:snakeyaml,< 1.31,1.31,2023-02-01T21:16:54-05:00,org.yaml:snakeyaml,,5.5/CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,CWE-787,XRAY-253429,FALSE,gav://org.yaml:snakeyaml:1.28,gav://org.yaml:snakeyaml
"Using snakeYAML to parse untrusted YAML files may be vulnerable to Denial of Service attacks (DOS). If the parser is running on user supplied input, an attacker may supply content that causes the parser to crash by stackoverflow.",CVE-2022-38750,Medium,security,JFrog,org.yaml:snakeyaml,< 1.31,1.31,2023-02-01T21:16:54-05:00,org.yaml:snakeyaml,,5.5/CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,CWE-787,XRAY-253429,FALSE,gav://org.yaml:snakeyaml:1.30,gav://org.yaml:snakeyaml
"In Apache Commons IO before 2.7, When invoking the method FileNameUtils.normalize with an improper input string, like ""//../foo"", or ""\\..\foo"", the result would be the same value, thus possibly providing access to files in the parent directory, but not further above (thus ""limited"" path traversal), if the calling code would use the result to construct a path value.",CVE-2021-29425,Medium,security,JFrog,commons-io:commons-io,< 2.7,2.7,2023-02-01T21:15:58-05:00,commons-io:commons-io,5.8/CVSS:2.0/AV:N/AC:M/Au:N/C:P/I:P/A:N,4.8/CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:N,CWE-22,XRAY-172728,FALSE,gav://commons-io:commons-io:2.6,gav://commons-io:commons-io
Bootstrap js/carousel.js data-target Attribute Handling XSS,,Medium,security,JFrog,org.webjars:bootstrap,2.0.0 ≤ Version < 3.4.0,3.4.0,2020-04-08T07:57:06-04:00,org.webjars:bootstrap,,,,XRAY-93573,FALSE,gav://org.webjars:bootstrap:3.3.7,gav://org.webjars:bootstrap
"In Bootstrap before 3.4.0, XSS is possible in the tooltip data-viewport attribute.",CVE-2018-20676,Medium,security,JFrog,bootstrap,< 3.4.0,3.4.0,2023-02-01T21:15:54-05:00,bootstrap,4.3/CVSS:2.0/AV:N/AC:M/Au:N/C:N/I:P/A:N,6.1/CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,CWE-79,XRAY-85922,FALSE,npm://bootstrap:3.1.1,npm://bootstrap
"In Bootstrap before 3.4.0, XSS is possible in the affix configuration target property.",CVE-2018-20677,Medium,security,JFrog,bootstrap,< 3.4.0,3.4.0,2023-02-01T21:15:54-05:00,bootstrap,4.3/CVSS:2.0/AV:N/AC:M/Au:N/C:N/I:P/A:N,6.1/CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,CWE-79,XRAY-85921,FALSE,npm://bootstrap:3.1.1,npm://bootstrap
"Those using Snakeyaml to parse untrusted YAML files may be vulnerable to Denial of Service attacks (DOS). If the parser is running on user supplied input, an attacker may supply content that causes the parser to crash by stack overflow. This effect may support a denial of service attack.",CVE-2022-41854,Medium,security,JFrog,org.yaml:snakeyaml,< 1.32,1.32,2023-01-09T21:14:21-05:00,org.yaml:snakeyaml,,6.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,CWE-787,XRAY-261206,FALSE,gav://org.yaml:snakeyaml:1.30,gav://org.yaml:snakeyaml
"Those using Snakeyaml to parse untrusted YAML files may be vulnerable to Denial of Service attacks (DOS). If the parser is running on user supplied input, an attacker may supply content that causes the parser to crash by stack overflow. This effect may support a denial of service attack.",CVE-2022-41854,Medium,security,JFrog,org.yaml:snakeyaml,< 1.32,1.32,2023-01-09T21:14:21-05:00,org.yaml:snakeyaml,,6.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,CWE-787,XRAY-261206,FALSE,gav://org.yaml:snakeyaml:1.28,gav://org.yaml:snakeyaml
"XStream is a simple library to serialize objects to XML and back again. In affected versions this vulnerability may allow a remote attacker to allocate 100% CPU time on the target system depending on CPU type or parallel execution of such a payload resulting in a denial of service only by manipulating the processed input stream. No user is affected, who followed the recommendation to setup XStream's security framework with a whitelist limited to the minimal required types. XStream 1.4.18 uses no longer a blacklist by default, since it cannot be secured for general purpose.",CVE-2021-39140,Medium,security,JFrog,com.thoughtworks.xstream:xstream,< 1.4.18,1.4.18,2023-02-01T21:15:22-05:00,com.thoughtworks.xstream:xstream,6.3/CVSS:2.0/AV:N/AC:M/Au:S/C:N/I:N/A:C,6.3/CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:C/C:N/I:N/A:H,"CWE-835,CWE-502",XRAY-183387,FALSE,gav://com.thoughtworks.xstream:xstream:1.4.5,gav://com.thoughtworks.xstream:xstream
"In Bootstrap before 3.4.0, XSS is possible in the tooltip data-viewport attribute.",CVE-2018-20676,Medium,security,JFrog,org.webjars:bootstrap,3.3.2 ≤ Version ≤ 3.3.7-1,3.4.0,2022-02-15T09:05:51-05:00,org.webjars:bootstrap,4.3/CVSS:2.0/AV:N/AC:M/Au:N/C:N/I:P/A:N,6.1/CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,CWE-79,XRAY-93411,FALSE,gav://org.webjars:bootstrap:3.3.7,gav://org.webjars:bootstrap
"In Bootstrap before 4.1.2, XSS is possible in the data-container property of tooltip.",CVE-2018-14042,Medium,security,JFrog,org.webjars:bootstrap,"3.3.5 ≤ Version < 3.4.0,4.0.0-alpha.6 ≤ Version < 4.1.2","3.4.0,4.1.2",2022-02-15T09:05:51-05:00,org.webjars:bootstrap,4.3/CVSS:2.0/AV:N/AC:M/Au:N/C:N/I:P/A:N,6.1/CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,CWE-79,XRAY-93431,FALSE,gav://org.webjars:bootstrap:3.3.7,gav://org.webjars:bootstrap
Bootstrap js/alert.js selector Handling XSS,,Medium,security,JFrog,org.webjars:bootstrap,3.3.7,3.4.0,2020-04-08T07:57:06-04:00,org.webjars:bootstrap,,,,XRAY-93571,FALSE,gav://org.webjars:bootstrap:3.3.7,gav://org.webjars:bootstrap
Bootstrap js/collapse.js data-target Attribute Handling XSS,,Medium,security,JFrog,org.webjars:bootstrap,3.3.0 ≤ Version < 3.4.0,3.4.0,2020-04-08T07:57:06-04:00,org.webjars:bootstrap,,,,XRAY-93574,FALSE,gav://org.webjars:bootstrap:3.3.7,gav://org.webjars:bootstrap
Bootstrap js/modal.js data-target Attribute Handling XSS,,Medium,security,JFrog,org.webjars:bootstrap,2.0.0 ≤ Version < 3.4.0,3.4.0,2020-04-08T07:57:06-04:00,org.webjars:bootstrap,,,,XRAY-93572,FALSE,gav://org.webjars:bootstrap:3.3.7,gav://org.webjars:bootstrap
[CVE-2021-45105] Apache Log4j2 versions 2.0-alpha1 through 2.16.0 did not protect from uncontrolled recursion from self-referential lookups.,CVE-2021-45105,Medium,security,JFrog,org.apache.logging.log4j:log4j-core,"2.0 ≤ Version ≤ 2.0.1,2.0-beta9,2.0-rc1-rc1,2.0-rc1,2.0-rc2,2.0.2-site-update,2.0.2,2.1 ≤ Version ≤ 2.3,2.1-rc2,2.1-rc3,2.10-rc1,2.10.0,2.11.0-rc1,2.11.0,2.11.1-rc1,2.11.1,2.11.2-rc1,2.11.2-rc2,2.11.2-rc3,2.11.2,2.12.0-rc1,2.12.0-rc2,2.12.0,2.12.1-rc1,2.12.1,2.12.2-rc1,2.12.2,2.13.0-rc1,2.13.0-rc2,2.13.0,2.13.1-rc1,2.13.1-rc2,2.13.1,2.13.2-rc1,2.13.2,2.13.3-rc1,2.13.3,2.14.0-rc1,2.14.0,2.14.1-rc1,2.14.1,2.15.0-rc1,2.15.0-rc2,2.15.0,2.15.1-rc1,2.16.0-rc1,2.16.0,2.4 ≤ Version ≤ 2.4.1,2.5-rc1,2.5,2.6-rc1,2.6.1-rc1,2.6.1,2.6.2-rc1,2.6.2,2.6,2.7-rc1,2.7-rc2,2.7,2.8-rc1,2.8.1-rc1,2.8.1,2.8.2-rc1,2.8.2,2.8,2.9-rc1,2.9.0,2.9.1-rc1,2.9.1","2.12.3,2.17.0,2.3.1",2022-12-13T11:32:02-05:00,org.apache.logging.log4j:log4j-core,4.3/CVSS:2.0/AV:N/AC:M/Au:N/C:N/I:N/A:P,5.9/CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,"CWE-674,CWE-20",XRAY-192348,FALSE,gav://org.apache.logging.log4j:log4j-core:2.15.0,gav://org.apache.logging.log4j:log4j-core
Bootstrap js/modal.js data-target Attribute Handling XSS,,Medium,security,JFrog,bootstrap,2.0.0 ≤ Version < 3.4.0,3.4.0,2020-04-08T07:57:02-04:00,bootstrap,,,,XRAY-80585,FALSE,npm://bootstrap:3.1.1,npm://bootstrap
"Using snakeYAML to parse untrusted YAML files may be vulnerable to Denial of Service attacks (DOS). If the parser is running on user supplied input, an attacker may supply content that causes the parser to crash by stackoverflow.",CVE-2022-38749,Medium,security,JFrog,org.yaml:snakeyaml,< 1.31,1.31,2023-02-01T21:15:46-05:00,org.yaml:snakeyaml,,6.5/CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,CWE-787,XRAY-253430,FALSE,gav://org.yaml:snakeyaml:1.30,gav://org.yaml:snakeyaml
"Using snakeYAML to parse untrusted YAML files may be vulnerable to Denial of Service attacks (DOS). If the parser is running on user supplied input, an attacker may supply content that causes the parser to crash by stackoverflow.",CVE-2022-38749,Medium,security,JFrog,org.yaml:snakeyaml,< 1.31,1.31,2023-02-01T21:15:46-05:00,org.yaml:snakeyaml,,6.5/CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,CWE-787,XRAY-253430,FALSE,gav://org.yaml:snakeyaml:1.28,gav://org.yaml:snakeyaml
"jsoup is a Java HTML parser, built for HTML editing, cleaning, scraping, and cross-site scripting (XSS) safety. jsoup may incorrectly sanitize HTML including `javascript:` URL expressions, which could allow XSS attacks when a reader subsequently clicks that link. If the non-default `SafeList.preserveRelativeLinks` option is enabled, HTML including `javascript:` URLs that have been crafted with control characters will not be sanitized. If the site that this HTML is published on does not set a Content Security Policy, an XSS attack is then possible. This issue is patched in jsoup 1.15.3. Users should upgrade to this version. Additionally, as the unsanitized input may have been persisted, old content should be cleaned again using the updated version. To remediate this issue without immediately upgrading: - disable `SafeList.preserveRelativeLinks`, which will rewrite input URLs as absolute URLs - ensure an appropriate [Content Security Policy](https://developer.mozilla.org/en-US/docs/Web/HTTP/CSP) is defined. (This should be used regardless of upgrading, as a defence-in-depth best practice.)",CVE-2022-36033,Medium,security,JFrog,org.jsoup:jsoup,< 1.15.3,1.15.3,2023-02-01T21:16:54-05:00,org.jsoup:jsoup,,6.1/CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,CWE-79,XRAY-252937,FALSE,gav://org.jsoup:jsoup:1.14.3,gav://org.jsoup:jsoup
"In Bootstrap before 3.4.1 and 4.3.x before 4.3.1, XSS is possible in the tooltip or popover data-template attribute.",CVE-2019-8331,Medium,security,JFrog,org.webjars:bootstrap,"0.0.1,0.0.2,3.0.0 ≤ Version < 3.4.1,4.0.0 ≤ Version ≤ 4.3.0","3.4.1,4.3.1",2022-02-15T09:05:51-05:00,org.webjars:bootstrap,4.3/CVSS:2.0/AV:N/AC:M/Au:N/C:N/I:P/A:N,6.1/CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,CWE-79,XRAY-93378,FALSE,gav://org.webjars:bootstrap:3.3.7,gav://org.webjars:bootstrap
Bootstrap js/carousel.js data-target Attribute Handling XSS,,Medium,security,JFrog,bootstrap,2.0.0 ≤ Version < 3.4.0,3.4.0,2020-04-08T07:57:02-04:00,bootstrap,,,,XRAY-80586,FALSE,npm://bootstrap:3.1.1,npm://bootstrap
