Component,License,CVE,Severity
com.liferay:com.liferay.dynamic.data.mapping.type.checkbox.multiple:1.0.8,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.dynamic.data.mapping.type.date:2.0.11,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.dynamic.data.mapping.type.editor:2.0.9,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.dynamic.data.mapping.type.key.value:2.0.7,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.dynamic.data.mapping.type.options:2.0.12,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.dynamic.data.mapping.type.paragraph:2.0.11,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.dynamic.data.mapping.type.password:1.0.4,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.dynamic.data.mapping.type.radio:2.0.17,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.dynamic.data.mapping.type.select:2.0.16,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.dynamic.data.mapping.type.text:2.0.12,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.dynamic.data.mapping.type.validation:2.0.8,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.dynamic.data.mapping.validator:2.1.9,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.dynamic.data.mapping.web:1.0.59,"LGPL-2.1, LGPL-2.1+",CVE-2021-33334,4.3
com.liferay:com.liferay.expando.taglib:1.0.10,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.expando.web:1.0.14,"LGPL-2.1, LGPL-2.1+",sonatype-2019-0813,6.1
com.liferay:com.liferay.exportimport.api:2.2.2,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.exportimport.resources.importer:2.0.3,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.exportimport.service:4.0.9,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.exportimport.web:1.0.38,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.flags.api:2.0.11,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.flags.service:2.0.14,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.flags.taglib:2.0.11,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.flags.web:2.0.14,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.frontend.compatibility.ie:1.0.2,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.frontend.css.common:2.0.4,"LGPL-2.1, No Source License",,
com.liferay:com.liferay.frontend.css.rtl.converter:1.0.0,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.frontend.css.rtl.converter:1.0.6,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.frontend.css.rtl.servlet:1.0.9,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.frontend.css.web:1.0.38,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.frontend.editor.alloyeditor.accessibility.web:1.0.7,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.frontend.editor.alloyeditor.link.browse.web:1.0.8,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.frontend.editor.alloyeditor.web:1.0.37,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.frontend.editor.ckeditor.web:1.0.44,"LGPL-2.1, LGPL-2.1+, MIT",CVE-2021-26272,6.5
com.liferay:com.liferay.frontend.editor.lang:2.0.1,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.frontend.editor.simple.web:1.0.11,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.frontend.editor.tinymce.web:1.0.23,"LGPL-2.1, LGPL-2.1+",CVE-2019-1010091,6.1
com.liferay:com.liferay.frontend.editor.tinymce.web:1.0.23,"LGPL-2.1, LGPL-2.1+",CVE-2020-12648,6.1
com.liferay:com.liferay.frontend.editor.tinymce.web:1.0.23,"LGPL-2.1, LGPL-2.1+",sonatype-2017-0268,5.3
com.liferay:com.liferay.frontend.editor.tinymce.web:1.0.23,"LGPL-2.1, LGPL-2.1+",sonatype-2018-0157,9.1
com.liferay:com.liferay.frontend.editor.tinymce.web:1.0.23,"LGPL-2.1, LGPL-2.1+",sonatype-2019-0333,4.7
com.liferay:com.liferay.frontend.editor.tinymce.web:1.0.23,"LGPL-2.1, LGPL-2.1+",sonatype-2020-0073,6.1
com.liferay:com.liferay.frontend.editor.tinymce.web:1.0.23,"LGPL-2.1, LGPL-2.1+",sonatype-2020-0563,6.1
com.liferay:com.liferay.frontend.editor.tinymce.web:1.0.23,"LGPL-2.1, LGPL-2.1+",sonatype-2021-0011,6.1
com.liferay:com.liferay.frontend.editor.tinymce.web:1.0.23,"LGPL-2.1, LGPL-2.1+",sonatype-2021-0656,6.1
com.liferay:com.liferay.frontend.editor.tinymce.web:1.0.23,"LGPL-2.1, LGPL-2.1+",sonatype-2021-0666,6.1
com.liferay:com.liferay.frontend.editor.tinymce.web:1.0.23,"LGPL-2.1, LGPL-2.1+",sonatype-2021-1582,6.1
com.liferay:com.liferay.frontend.image.editor.api:1.0.5,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.frontend.image.editor.capability.brightness:1.0.16,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.frontend.image.editor.capability.contrast:1.0.16,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.frontend.image.editor.capability.crop:1.0.16,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.frontend.image.editor.capability.effects:1.0.18,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.frontend.image.editor.capability.resize:1.0.16,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.frontend.image.editor.capability.rotate:1.0.16,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.frontend.image.editor.capability.saturation:1.0.16,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.frontend.image.editor.integration.document.library:1.0.19,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.frontend.image.editor.web:1.0.24,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.frontend.js.aui.web:1.0.24,"LGPL-2.1, No Source License",CVE-2021-33326,6.1
com.liferay:com.liferay.frontend.js.bundle.config.extender:1.0.12,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.frontend.js.loader.modules.extender:2.0.2,"LGPL-2.1, LGPL-2.1+",sonatype-2022-3061,7.5
com.liferay:com.liferay.frontend.js.loader.modules.extender.api:1.0.2,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.frontend.js.metal.web:1.0.20,"LGPL-2.1, No Source License",,
com.liferay:com.liferay.frontend.js.node.shims:1.0.4,"LGPL-2.1, No Source License",,
com.liferay:com.liferay.frontend.js.polyfill.babel.web:1.0.5,"LGPL-2.1, No Source License",,
com.liferay:com.liferay.frontend.js.soyutils.web:1.0.4,"LGPL-2.1, No Source License",,
com.liferay:com.liferay.frontend.js.spa.web:1.0.50,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.frontend.js.web:1.0.71,"LGPL-2.1, GPL or MIT, LGPL-2.1+, MIT",CVE-2018-14042,6.1
com.liferay:com.liferay.frontend.js.web:1.0.71,"LGPL-2.1, GPL or MIT, LGPL-2.1+, MIT",CVE-2018-20676,6.1
com.liferay:com.liferay.frontend.js.web:1.0.71,"LGPL-2.1, GPL or MIT, LGPL-2.1+, MIT",CVE-2018-20677,6.1
com.liferay:com.liferay.frontend.js.web:1.0.71,"LGPL-2.1, GPL or MIT, LGPL-2.1+, MIT",CVE-2019-11358,6.1
com.liferay:com.liferay.frontend.js.web:1.0.71,"LGPL-2.1, GPL or MIT, LGPL-2.1+, MIT",CVE-2019-8331,6.1
com.liferay:com.liferay.frontend.js.web:1.0.71,"LGPL-2.1, GPL or MIT, LGPL-2.1+, MIT",CVE-2020-11023,6.1
com.liferay:com.liferay.frontend.js.web:1.0.71,"LGPL-2.1, GPL or MIT, LGPL-2.1+, MIT",sonatype-2014-0026,6.5
com.liferay:com.liferay.frontend.js.web:1.0.71,"LGPL-2.1, GPL or MIT, LGPL-2.1+, MIT",sonatype-2016-0107,6.1
com.liferay:com.liferay.frontend.js.web:1.0.71,"LGPL-2.1, GPL or MIT, LGPL-2.1+, MIT",sonatype-2016-0129,5.4
com.liferay:com.liferay.frontend.js.web:1.0.71,"LGPL-2.1, GPL or MIT, LGPL-2.1+, MIT",sonatype-2017-0695,6.1
com.liferay:com.liferay.frontend.js.web:1.0.71,"LGPL-2.1, GPL or MIT, LGPL-2.1+, MIT",sonatype-2018-0607,6.1
com.liferay:com.liferay.frontend.js.web:1.0.71,"LGPL-2.1, GPL or MIT, LGPL-2.1+, MIT",sonatype-2020-0187,6.1
com.liferay:com.liferay.frontend.taglib:2.2.16,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.frontend.taglib:3.2.7,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.frontend.taglib.form.navigator:1.0.10,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.frontend.taglib.soy:1.0.10,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.frontend.taglib.util.freemarker.contributor:1.0.4,"LGPL-2.1, No Source License",,
com.liferay:com.liferay.frontend.theme.admin.web:1.0.2,"LGPL-2.1, LGPL-2.1+, MIT",,
com.liferay:com.liferay.frontend.theme.classic.web:2.0.2,"LGPL-2.1, LGPL-2.1+, MIT",,
com.liferay:com.liferay.frontend.theme.contributor.extender:2.0.3,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.frontend.theme.favicon.servlet:1.0.2,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.frontend.theme.styled:2.1.3,"LGPL-2.1, No Source License",,
com.liferay:com.liferay.frontend.theme.unstyled:2.0.9,"LGPL-2.1, MIT",,
com.liferay:com.liferay.frontend.theme.unstyled:2.2.10,"LGPL-2.1, MIT",,
com.liferay:com.liferay.hello.soy.navigation.web:1.0.4,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.hello.soy.web:1.0.16,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.hello.velocity.web:2.0.8,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.hello.world.web:2.0.7,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.iframe.web:1.0.17,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.image.uploader.web:1.0.18,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.imageio.plugins:1.0.2,"LGPL-2.1, LGPL-2.1+",CVE-2021-23792,9.8
com.liferay:com.liferay.imageio.plugins:1.0.2,"LGPL-2.1, LGPL-2.1+",sonatype-2021-0313,7.5
com.liferay:com.liferay.imageio.plugins:5.0.5,"LGPL-2.1, Apache-1.1, BSD-3-Clause, LGPL-2.1+",CVE-2021-23792,9.8
com.liferay:com.liferay.imageio.plugins:5.0.5,"LGPL-2.1, Apache-1.1, BSD-3-Clause, LGPL-2.1+",sonatype-2021-0313,7.5
com.liferay:com.liferay.invitation.invite.members.api:2.1.5,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.invitation.invite.members.service:3.0.6,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.invitation.invite.members.web:1.0.29,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.ip.geocoder:3.0.1,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.ip.geocoder.api:1.0.2,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.ip.geocoder.sample.web:2.0.11,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.item.selector.api:2.4.3,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.item.selector.criteria.api:2.1.2,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.item.selector.editor.configuration:2.0.5,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.item.selector.taglib:1.1.18,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.item.selector.upload.web:2.0.10,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.item.selector.url.web:2.0.9,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.item.selector.web:3.0.8,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.jaxws.osgi.bridge:1.0.2,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.journal.api:2.12.8,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.journal.content.asset.addon.entry.comments:1.0.10,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.journal.content.asset.addon.entry.common:2.0.4,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.journal.content.asset.addon.entry.conversions:2.0.9,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.journal.content.asset.addon.entry.locales:1.0.8,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.journal.content.asset.addon.entry.print:2.0.5,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.journal.content.asset.addon.entry.ratings:2.0.5,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.journal.content.asset.addon.entry.related.assets:2.0.5,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.journal.content.search.web:1.0.17,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.journal.content.web:2.0.9,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.journal.editor.configuration:1.0.3,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.journal.item.selector.api:1.0.3,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.journal.item.selector.web:1.0.6,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.journal.lang:2.0.16,"LGPL-2.1, No Source License",,
com.liferay:com.liferay.journal.ratings.definition:2.0.3,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.journal.service:3.24.8,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.journal.taglib:1.0.7,"LGPL-2.1, LGPL-2.1+",CVE-2019-16147,6.1
com.liferay:com.liferay.journal.terms.of.use:2.0.27,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.journal.web:1.10.17,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.journal.web:1.10.40,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.layout.admin.web:1.0.65,"LGPL-2.1, LGPL-2.1+",CVE-2021-29048,6.1
com.liferay:com.liferay.layout.admin.web:1.0.65,"LGPL-2.1, LGPL-2.1+",CVE-2021-33338,7.5
com.liferay:com.liferay.layout.admin.web:1.0.65,"LGPL-2.1, LGPL-2.1+",sonatype-2021-1719,6.1
com.liferay:com.liferay.layout.admin.web:2.0.50,"LGPL-2.1, LGPL-2.1+",CVE-2021-29048,6.1
com.liferay:com.liferay.layout.admin.web:2.0.50,"LGPL-2.1, LGPL-2.1+",sonatype-2021-1719,6.1
com.liferay:com.liferay.layout.impl:2.0.5,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.layout.item.selector.api:1.0.4,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.layout.item.selector.web:1.1.11,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.layout.prototype:2.0.0,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.layout.prototype.api:1.0.1,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.layout.prototype.impl:1.0.6,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.layout.prototype.web:1.0.15,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.layout.set.prototype.api:1.0.2,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.layout.set.prototype.impl:2.0.2,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.layout.set.prototype.web:1.0.16,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.layout.taglib:2.2.2,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.layout.type.controller.control.panel:2.0.5,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.layout.type.controller.full.page.application:2.0.9,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.layout.type.controller.node:2.0.7,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.layout.type.controller.shared.portlet:2.0.6,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.license.manager.web:2.0.9,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.login.authentication.facebook.connect.web:2.0.11,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.login.authentication.google.web:2.0.11,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.login.authentication.openid.web:2.0.8,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.login.web:2.0.6,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.map.api:2.1.1,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.map.common:2.0.1,"LGPL-2.1, No Source License",,
com.liferay:com.liferay.map.google.maps:1.0.17,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.map.openstreetmap:2.0.16,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.map.taglib:1.1.9,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.marketplace.api:4.2.0,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.marketplace.app.manager.web:1.0.17,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.marketplace.deployer:2.0.9,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.marketplace.service:2.1.28,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.marketplace.store.web:2.0.11,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.mentions.api:2.2.2,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.mentions.service:2.0.17,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.mentions.web:2.0.4,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.message.boards.api:3.1.8,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.message.boards.comment:2.0.20,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.message.boards.editor.configuration:1.0.3,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.message.boards.layout.set.prototype:1.0.15,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.message.boards.parser.bbcode:2.0.13,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.message.boards.service:1.0.17,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.message.boards.web:1.3.1,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.microblogs.api:2.1.5,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.microblogs.service:2.1.18,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.microblogs.web:2.0.27,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.microsoft.translator:1.0.7,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.mobile.device.rules.api:2.1.4,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.mobile.device.rules.service:1.2.28,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.mobile.device.rules.web:1.0.25,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.modules.compat:2.0.8,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.modules.compat.data:1.2.4,"LGPL-2.1, No Source License",sonatype-2019-0870,7.7
com.liferay:com.liferay.monitoring.web:1.0.15,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.my.account.web:1.0.13,"LGPL-2.1, LGPL-2.1+",sonatype-2019-0623,5.4
com.liferay:com.liferay.nested.portlets.web:2.0.17,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.notifications.web:1.0.33,"LGPL-2.1, LGPL-2.1+",CVE-2021-33331,6.1
com.liferay:com.liferay.notifications.web:1.0.38,"LGPL-2.1, LGPL-2.1+",CVE-2021-33331,6.1
com.liferay:com.liferay.osgi.felix.file.install.configuration.cleaner:1.0.4,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.osgi.felix.util:1.0.0,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.osgi.felix.util:1.0.3,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.osgi.service.tracker.collections:2.0.16,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.osgi.util:3.2.1,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.password.policies.admin.api:2.0.1,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.password.policies.admin.impl:1.0.7,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.password.policies.admin.web:1.0.26,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.petra.collection:1.0.2,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.petra.concurrent:1.2.3,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.petra.content:1.0.5,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.petra.doulos:3.5.3,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.petra.encryptor:1.0.11,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.petra.executor:1.0.2,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.petra.function:1.0.1,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.petra.io:1.3.0,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.petra.io.delta:1.1.2,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.petra.lang:1.1.2,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.petra.log4j:4.1.3,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.petra.mail:1.1.6,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.petra.memory:1.0.9,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.petra.model.adapter:1.0.4,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.petra.nio:1.0.2,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.petra.process:1.0.11,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.petra.reflect:1.1.1,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.petra.string:1.1.2,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.petra.xml:1.0.13,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.plugins.admin.web:1.0.19,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.polls.api:4.0.4,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.polls.service:3.0.27,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.polls.web:2.0.24,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.portal.background.task.api:2.1.4,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.portal.background.task.service:3.0.10,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.portal.background.task.web:2.0.4,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.portal.bundle.blacklist:1.1.5,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.portal.cache:2.4.12,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.portal.cache.ehcache:2.1.19,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.portal.cache.ehcache.impl:1.0.0,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.portal.cache.ehcache.provider:2.0.7,"LGPL-2.1, No Source License",,
com.liferay:com.liferay.portal.cache.single:2.0.4,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.portal.ccpp.impl:1.0.0,"LGPL-2.1, Apache-1.1, LGPL-2.1+",,
com.liferay:com.liferay.portal.classloader.tracker:1.0.3,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.portal.cluster.single:2.0.4,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.portal.component.blacklist.api:1.0.1,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.portal.component.blacklist.impl:1.0.3,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.portal.compound.session.id:2.0.2,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.portal.configuration.cluster:3.0.1,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.portal.configuration.extender:3.0.2,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.portal.configuration.metatype:1.0.0,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.portal.configuration.metatype:2.0.12,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.portal.configuration.metatype.definitions.annotations:2.0.4,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.portal.configuration.metatype.definitions.equinox:2.0.6,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.portal.configuration.module.configuration:2.0.12,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.portal.configuration.persistence:2.1.2,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.portal.configuration.settings:2.0.16,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.portal.custom.jsp.bag.api:1.0.2,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.portal.dao.orm.custom.sql:1.0.14,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.portal.equinox.log.bridge:1.0.2,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.portal.executor:2.0.4,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.portal.init.servlet.filter:2.0.6,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.portal.instance.lifecycle:3.1.1,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.portal.instances.api:1.0.4,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.portal.instances.service:1.0.8,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.portal.instances.web:1.0.14,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.portal.jmx:4.0.1,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.portal.jmx.api:1.0.1,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.portal.language.extender:2.0.9,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.portal.language.servlet.filter:2.0.8,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.portal.license.deployer:1.0.7,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.portal.lock.api:2.1.4,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.portal.lock.service:2.0.19,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.portal.log4j.extender:2.0.6,"LGPL-2.1, LGPL-2.1+",,
