Summary,CVEs,Severity,Type,Provider,Component,Infected Version,Fix Version,Edited,Component Versions Id,CVSS v2,CVSS v3,Cwe,Id,Is Source Root,Source Comp Id,Component
Prototype pollution attack when using _.zipObjectDeep in lodash before 4.17.20.,CVE-2020-8203,High,security,JFrog,lodash,< 4.17.20,4.17.20,2023-02-01T21:15:22-05:00,lodash,5.8/CVSS:2.0/AV:N/AC:M/Au:N/C:N/I:P/A:P,7.4/CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:H,CWE-1321,XRAY-114089,FALSE,npm://lodash:4.17.15,lodash:4.17.15
"Moment.js is a JavaScript date library for parsing, validating, manipulating, and formatting dates. A path traversal vulnerability impacts npm (server) users of Moment.js between versions 1.0.1 and 2.29.1, especially if a user-provided locale string is directly used to switch moment locale. This problem is patched in 2.29.2, and the patch can be applied to all affected versions. As a workaround, sanitize the user-provided locale name before passing it to Moment.js.",CVE-2022-24785,High,security,JFrog,moment,< 2.29.2,2.29.2,2023-02-01T21:16:26-05:00,moment,5.0/CVSS:2.0/AV:N/AC:L/Au:N/C:N/I:P/A:N,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,"CWE-27,CWE-22",XRAY-203039,FALSE,npm://moment:2.24.0,moment:2.24.0
"index.js in brace-expansion before 1.1.7 is vulnerable to Regular Expression Denial of Service (ReDoS) attacks, as demonstrated by an expand argument containing many comma characters.",CVE-2017-18077,High,security,JFrog,brace-expansion,< 1.1.7,1.1.7,2023-02-01T21:16:23-05:00,brace-expansion,5.0/CVSS:2.0/AV:N/AC:L/Au:N/C:N/I:N/A:P,7.5/CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-20,XRAY-73063,FALSE,npm://brace-expansion:1.1.6,brace-expansion:1.1.6
tap-mocha-reporter lib/utils.js Regular Expression Remote DoS,,High,security,JFrog,tap-mocha-reporter,0.0.1 ≤ Version < 5.0.2,5.0.2,2022-03-03T11:19:45-05:00,tap-mocha-reporter,,,,XRAY-199152,FALSE,npm://tap-mocha-reporter:2.0.1,tap-mocha-reporter:2.0.1
Lodash Package for Node.js lodash.js baseSet() Function Prototype Pollution DoS,,High,security,JFrog,lodash,4.0.0 ≤ Version < 4.17.16,4.17.16,2022-02-15T09:01:40-05:00,lodash,,,,XRAY-121295,FALSE,npm://lodash:4.17.15,lodash:4.17.15
"Marked is a markdown parser and compiler. Prior to version 4.0.10, the regular expression `inline.reflinkSearch` may cause catastrophic backtracking against some strings and lead to a denial of service (DoS). Anyone who runs untrusted markdown through a vulnerable version of marked and does not use a worker with a time limit may be affected. This issue is patched in version 4.0.10. As a workaround, avoid running untrusted markdown through marked or run marked on a worker thread and set a reasonable time limit to prevent draining resources.",CVE-2022-21681,High,security,JFrog,marked,< 4.0.10,4.0.10,2023-02-01T21:16:48-05:00,marked,5.0/CVSS:2.0/AV:N/AC:L/Au:N/C:N/I:N/A:P,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,NVD-CWE-Other,XRAY-194711,FALSE,npm://marked:0.3.9,marked:0.3.9
"Hawk is an HTTP authentication scheme providing mechanisms for making authenticated HTTP requests with partial cryptographic verification of the request and response, covering the HTTP method, request URI, host, and optionally the request payload. Hawk used a regular expression to parse `Host` HTTP header (`Hawk.utils.parseHost()`), which was subject to regular expression DoS attack - meaning each added character in the attacker's input increases the computation time exponentially. `parseHost()` was patched in `9.0.1` to use built-in `URL` class to parse hostname instead. `Hawk.authenticate()` accepts `options` argument. If that contains `host` and `port`, those would be used instead of a call to `utils.parseHost()`.",CVE-2022-29167,High,security,JFrog,hawk,< 9.0.1,9.0.1,2023-02-01T21:15:22-05:00,hawk,5.0/CVSS:2.0/AV:N/AC:L/Au:N/C:N/I:N/A:P,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-400,XRAY-209780,FALSE,npm://hawk:1.0.0,hawk:1.0.0
"Hawk is an HTTP authentication scheme providing mechanisms for making authenticated HTTP requests with partial cryptographic verification of the request and response, covering the HTTP method, request URI, host, and optionally the request payload. Hawk used a regular expression to parse `Host` HTTP header (`Hawk.utils.parseHost()`), which was subject to regular expression DoS attack - meaning each added character in the attacker's input increases the computation time exponentially. `parseHost()` was patched in `9.0.1` to use built-in `URL` class to parse hostname instead. `Hawk.authenticate()` accepts `options` argument. If that contains `host` and `port`, those would be used instead of a call to `utils.parseHost()`.",CVE-2022-29167,High,security,JFrog,hawk,< 9.0.1,9.0.1,2023-02-01T21:15:22-05:00,hawk,5.0/CVSS:2.0/AV:N/AC:L/Au:N/C:N/I:N/A:P,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-400,XRAY-209780,FALSE,npm://hawk:3.1.3,hawk:3.1.3
"The qs module before 1.0.0 does not have an option or default for specifying object depth and when parsing a string representing a deeply nested object will block the event loop for long periods of time. An attacker could leverage this to cause a temporary denial-of-service condition, for example, in a web application, other requests would not be processed while this blocking is occurring.",CVE-2014-10064,High,security,JFrog,qs,< 1.0.0,1.0.0,2023-02-01T21:16:25-05:00,qs,5.0/CVSS:2.0/AV:N/AC:L/Au:N/C:N/I:N/A:P,7.5/CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-399,XRAY-72519,FALSE,npm://qs:0.6.6,qs:0.6.6
"qs before 6.10.3, as used in Express before 4.17.3 and other products, allows attackers to cause a Node process hang for an Express application because an __ proto__ key can be used. In many typical Express use cases, an unauthenticated remote attacker can place the attack payload in the query string of the URL that is used to visit the application, such as a[__proto__]=b&a[__proto__]&a[length]=100000000. The fix was backported to qs 6.9.7, 6.8.3, 6.7.3, 6.6.1, 6.5.3, 6.4.1, 6.3.3, and 6.2.4 (and therefore Express 4.17.3, which has ""deps: qs@6.9.7"" in its release description, is not vulnerable).",CVE-2022-24999,High,security,JFrog,qs,"< 6.2.4,6.10.0 ≤ Version < 6.10.3,6.3.0 ≤ Version < 6.3.3,6.4.0 ≤ Version < 6.4.1,6.5.0 ≤ Version < 6.5.3,6.6.0 ≤ Version < 6.6.1,6.7.0 ≤ Version < 6.7.3,6.8.0 ≤ Version < 6.8.3,6.9.0 ≤ Version < 6.9.7","6.10.3,6.2.4,6.3.3,6.4.1,6.5.3,6.6.1,6.7.3,6.8.3,6.9.7",2023-02-01T21:17:14-05:00,qs,,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-1321,XRAY-262099,FALSE,npm://qs:0.6.6,qs:0.6.6
"The npm package ""tar"" (aka node-tar) before versions 6.1.2, 5.0.7, 4.4.15, and 3.2.3 has an arbitrary File Creation/Overwrite vulnerability via insufficient symlink protection. `node-tar` aims to guarantee that any file whose location would be modified by a symbolic link is not extracted. This is, in part, achieved by ensuring that extracted directories are not symlinks. Additionally, in order to prevent unnecessary `stat` calls to determine whether a given path is a directory, paths are cached when directories are created. This logic was insufficient when extracting tar files that contained both a directory and a symlink with the same name as the directory. This order of operations resulted in the directory being created and added to the `node-tar` directory cache. When a directory is present in the directory cache, subsequent calls to mkdir for that directory are skipped. However, this is also where `node-tar` checks for symlinks occur. By first creating a directory, and then replacing that directory with a symlink, it was thus possible to bypass `node-tar` symlink checks on directories, essentially allowing an untrusted tar file to symlink into an arbitrary location and subsequently extracting arbitrary files into that location, thus allowing arbitrary file creation and overwrite. This issue was addressed in releases 3.2.3, 4.4.15, 5.0.7 and 6.1.2.",CVE-2021-32803,High,security,JFrog,tar,"< 3.2.3,4.0.0 ≤ Version < 4.4.15,5.0.0 ≤ Version < 5.0.7,6.0.0 ≤ Version < 6.1.2","3.2.3,4.4.15,5.0.7,6.1.2",2023-02-01T21:15:22-05:00,tar,5.8/CVSS:2.0/AV:N/AC:M/Au:N/C:N/I:P/A:P,8.1/CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:H/A:H,CWE-59,XRAY-180790,FALSE,npm://tar:2.2.1,tar:2.2.1
mongodb Package for Node.js (node-mongodb-native) lib/operations/db_ops.js createCollection() Function Collection Name Validation Improper Exception Handling DoS,,High,security,JFrog,mongodb,"0.9.1 ≤ Version ≤ 0.9.4,0.9.6,0.9.7,0.9.8,0.9.9,1.0.0 ≤ Version ≤ 1.0.2,1.1.0,1.1.1 ≤ Version ≤ 1.3.23,1.4.0,1.4.1 ≤ Version ≤ 1.4.40,2.0.0,2.0.1 ≤ Version ≤ 2.0.55,2.1.0,2.1.1 ≤ Version ≤ 2.1.21,2.2.0,2.2.1 ≤ Version ≤ 2.2.36,3.0.0,3.0.1 ≤ Version ≤ 3.0.11,3.1.0,3.1.1 ≤ Version ≤ 3.1.12",3.1.13,2022-02-15T09:01:20-05:00,mongodb,,,,XRAY-90643,FALSE,npm://mongodb:2.2.36,mongodb:2.2.36
nodejs ejs version older than 2.5.5 is vulnerable to a denial-of-service due to weak input validation in the ejs.renderFile(),CVE-2017-1000189,High,security,JFrog,ejs,< 2.5.5,2.5.5,2023-02-01T21:15:22-05:00,ejs,5.0/CVSS:2.0/AV:N/AC:L/Au:N/C:N/I:N/A:P,7.5/CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-20,XRAY-73290,FALSE,npm://ejs:0.4.3,ejs:0.4.3
Versions of the npm CLI prior to 6.13.3 are vulnerable to an Arbitrary File Write. It fails to prevent access to folders outside of the intended node_modules folder through the bin field. A properly constructed entry in the package.json bin field would allow a package publisher to modify and/or gain access to arbitrary files on a user's system when the package is installed. This behavior is still possible through install scripts. This vulnerability bypasses a user using the --ignore-scripts install option.,CVE-2019-16776,High,security,JFrog,npm,< 6.13.3,6.13.3,2023-02-01T21:16:57-05:00,npm,5.5/CVSS:2.0/AV:N/AC:L/Au:S/C:P/I:P/A:N,8.1/CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,CWE-22,XRAY-92764,FALSE,npm://npm:3.10.10,npm:3.10.10
"All versions of package path-parse are vulnerable to Regular Expression Denial of Service (ReDoS) via splitDeviceRe, splitTailRe, and splitPathRe regular expressions. ReDoS exhibits polynomial worst-case time complexity.",CVE-2021-23343,High,security,JFrog,path-parse,< 1.0.7,1.0.7,2023-02-01T21:15:42-05:00,path-parse,5.0/CVSS:2.0/AV:N/AC:L/Au:N/C:N/I:N/A:P,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,NVD-CWE-noinfo,XRAY-175028,FALSE,npm://path-parse:1.0.5,path-parse:1.0.5
"Handlebars before 3.0.8 and 4.x before 4.5.3 is vulnerable to Arbitrary Code Execution. The lookup helper fails to properly validate templates, allowing attackers to submit templates that execute arbitrary JavaScript. This can be used to run arbitrary code on a server processing Handlebars templates or in a victim's browser (effectively serving as XSS).",CVE-2019-20920,High,security,JFrog,handlebars,"< 3.0.8,4.0.0 ≤ Version < 4.5.3","3.0.8,4.5.3",2023-02-01T21:15:22-05:00,handlebars,6.8/CVSS:2.0/AV:N/AC:M/Au:N/C:P/I:P/A:P,8.1/CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:H/I:L/A:L,CWE-94,XRAY-125693,FALSE,npm://handlebars:4.0.5,handlebars:4.0.5
This affects the package npm-user-validate before 1.0.1. The regex that validates user emails took exponentially longer to process long input strings beginning with @ characters.,CVE-2020-7754,High,security,JFrog,npm-user-validate,< 1.0.1,1.0.1,2023-02-01T21:15:22-05:00,npm-user-validate,5.0/CVSS:2.0/AV:N/AC:L/Au:N/C:N/I:N/A:P,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,NVD-CWE-noinfo,XRAY-127582,FALSE,npm://npm-user-validate:0.1.5,npm-user-validate:0.1.5
"This affects the package nconf before 0.11.4. When using the memory engine, it is possible to store a nested JSON representation of the configuration. The .set() function, that is responsible for setting the configuration properties, is vulnerable to Prototype Pollution. By providing a crafted property, it is possible to modify the properties on the Object.prototype.",CVE-2022-21803,High,security,JFrog,nconf,< 0.11.4,0.11.4,2023-02-01T21:15:22-05:00,nconf,5.0/CVSS:2.0/AV:N/AC:L/Au:N/C:N/I:P/A:N,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,CWE-1321,XRAY-208869,FALSE,npm://nconf:0.10.0,nconf:0.10.0
"This affects the package nconf before 0.11.4. When using the memory engine, it is possible to store a nested JSON representation of the configuration. The .set() function, that is responsible for setting the configuration properties, is vulnerable to Prototype Pollution. By providing a crafted property, it is possible to modify the properties on the Object.prototype.",CVE-2022-21803,High,security,JFrog,nconf,< 0.11.4,0.11.4,2023-02-01T21:15:22-05:00,nconf,5.0/CVSS:2.0/AV:N/AC:L/Au:N/C:N/I:P/A:N,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,CWE-1321,XRAY-208869,FALSE,npm://nconf:0.6.9,nconf:0.6.9
"An issue was discovered in an npm 5.7.0 2018-02-21 pre-release (marked as ""next: 5.7.0"" and therefore automatically installed by an ""npm upgrade -g npm"" command, and also announced in the vendor's blog without mention of pre-release status). It might allow local users to bypass intended filesystem access restrictions because ownerships of /etc and /usr directories are being changed unexpectedly, related to a ""correctMkdir"" issue.",CVE-2018-7408,High,security,JFrog,npm,< 5.7.1,5.7.1,2023-02-01T21:15:22-05:00,npm,4.6/CVSS:2.0/AV:L/AC:L/Au:N/C:P/I:P/A:P,7.8/CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,CWE-732,XRAY-73410,FALSE,npm://npm:3.10.10,npm:3.10.10
sshpk is vulnerable to ReDoS when parsing crafted invalid public keys.,CVE-2018-3737,High,security,JFrog,sshpk,< 1.13.2,1.13.2,2023-02-01T21:15:22-05:00,sshpk,5.0/CVSS:2.0/AV:N/AC:L/Au:N/C:N/I:N/A:P,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-185,XRAY-73059,FALSE,npm://sshpk:1.10.1,sshpk:1.10.1
"qs before 6.10.3, as used in Express before 4.17.3 and other products, allows attackers to cause a Node process hang for an Express application because an __ proto__ key can be used. In many typical Express use cases, an unauthenticated remote attacker can place the attack payload in the query string of the URL that is used to visit the application, such as a[__proto__]=b&a[__proto__]&a[length]=100000000. The fix was backported to qs 6.9.7, 6.8.3, 6.7.3, 6.6.1, 6.5.3, 6.4.1, 6.3.3, and 6.2.4 (and therefore Express 4.17.3, which has ""deps: qs@6.9.7"" in its release description, is not vulnerable).",CVE-2022-24999,High,security,JFrog,qs,"< 6.2.4,6.10.0 ≤ Version < 6.10.3,6.3.0 ≤ Version < 6.3.3,6.4.0 ≤ Version < 6.4.1,6.5.0 ≤ Version < 6.5.3,6.6.0 ≤ Version < 6.6.1,6.7.0 ≤ Version < 6.7.3,6.8.0 ≤ Version < 6.8.3,6.9.0 ≤ Version < 6.9.7","6.10.3,6.2.4,6.3.3,6.4.1,6.5.3,6.6.1,6.7.3,6.8.3,6.9.7",2023-02-01T21:17:14-05:00,qs,,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-1321,XRAY-262099,FALSE,npm://qs:5.2.1,qs:5.2.1
"The npm package ""tar"" (aka node-tar) before versions 4.4.18, 5.0.10, and 6.1.9 has an arbitrary file creation/overwrite and arbitrary code execution vulnerability. node-tar aims to guarantee that any file whose location would be modified by a symbolic link is not extracted. This is, in part, achieved by ensuring that extracted directories are not symlinks. Additionally, in order to prevent unnecessary stat calls to determine whether a given path is a directory, paths are cached when directories are created. This logic was insufficient when extracting tar files that contained both a directory and a symlink with names containing unicode values that normalized to the same value. Additionally, on Windows systems, long path portions would resolve to the same file system entities as their 8.3 ""short path"" counterparts. A specially crafted tar archive could thus include a directory with one form of the path, followed by a symbolic link with a different string that resolves to the same file system entity, followed by a file using the first form. By first creating a directory, and then replacing that directory with a symlink that had a different apparent name that resolved to the same entry in the filesystem, it was thus possible to bypass node-tar symlink checks on directories, essentially allowing an untrusted tar file to symlink into an arbitrary location and subsequently extracting arbitrary files into that location, thus allowing arbitrary file creation and overwrite. These issues were addressed in releases 4.4.18, 5.0.10 and 6.1.9. The v3 branch of node-tar has been deprecated and did not receive patches for these issues. If you are still using a v3 release we recommend you update to a more recent version of node-tar. If this is not possible, a workaround is available in the referenced GHSA-qq89-hq3f-393p.",CVE-2021-37712,High,security,JFrog,tar,"< 4.4.18,5.0.0 ≤ Version < 5.0.10,6.0.0 ≤ Version < 6.1.9","4.4.18,5.0.10,6.1.9",2023-02-01T21:17:39-05:00,tar,4.4/CVSS:2.0/AV:L/AC:M/Au:N/C:P/I:P/A:P,8.6/CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H,"CWE-59,CWE-22",XRAY-184004,FALSE,npm://tar:2.2.1,tar:2.2.1
Mocha Package for Node.js lib/utils.js clean() Function Improper Regular Expression DoS,,High,security,JFrog,mocha,< 10.1.0,10.1.0,2022-12-13T11:03:42-05:00,mocha,,,,XRAY-228815,FALSE,npm://mocha:2.5.3,mocha:2.5.3
Mocha Package for Node.js lib/utils.js clean() Function Improper Regular Expression DoS,,High,security,JFrog,mocha,< 10.1.0,10.1.0,2022-12-13T11:03:42-05:00,mocha,,,,XRAY-228815,FALSE,npm://mocha:2.0.1,mocha:2.0.1
Lodash versions prior to 4.17.21 are vulnerable to Command Injection via the template function.,CVE-2021-23337,High,security,JFrog,lodash,< 4.17.21,4.17.21,2023-02-01T21:16:02-05:00,lodash,6.5/CVSS:2.0/AV:N/AC:L/Au:S/C:P/I:P/A:P,7.2/CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,CWE-94,XRAY-140575,FALSE,npm://lodash:4.13.1,lodash:4.13.1
"The npm package ""tar"" (aka node-tar) before versions 4.4.16, 5.0.8, and 6.1.7 has an arbitrary file creation/overwrite and arbitrary code execution vulnerability. node-tar aims to guarantee that any file whose location would be modified by a symbolic link is not extracted. This is, in part, achieved by ensuring that extracted directories are not symlinks. Additionally, in order to prevent unnecessary stat calls to determine whether a given path is a directory, paths are cached when directories are created. This logic was insufficient when extracting tar files that contained both a directory and a symlink with the same name as the directory, where the symlink and directory names in the archive entry used backslashes as a path separator on posix systems. The cache checking logic used both `\` and `/` characters as path separators, however `\` is a valid filename character on posix systems. By first creating a directory, and then replacing that directory with a symlink, it was thus possible to bypass node-tar symlink checks on directories, essentially allowing an untrusted tar file to symlink into an arbitrary location and subsequently extracting arbitrary files into that location, thus allowing arbitrary file creation and overwrite. Additionally, a similar confusion could arise on case-insensitive filesystems. If a tar archive contained a directory at `FOO`, followed by a symbolic link named `foo`, then on case-insensitive file systems, the creation of the symbolic link would remove the directory from the filesystem, but _not_ from the internal directory cache, as it would not be treated as a cache hit. A subsequent file entry within the `FOO` directory would then be placed in the target of the symbolic link, thinking that the directory had already been created. These issues were addressed in releases 4.4.16, 5.0.8 and 6.1.7. The v3 branch of node-tar has been deprecated and did not receive patches for these issues. If you are still using a v3 release we recommend you update to a more recent version of node-tar. I",CVE-2021-37701,High,security,JFrog,tar,"< 4.4.16,5.0.0 ≤ Version < 5.0.8,6.0.0 ≤ Version < 6.1.7","4.4.16,5.0.8,6.1.7",2023-02-01T21:15:22-05:00,tar,4.4/CVSS:2.0/AV:L/AC:M/Au:N/C:P/I:P/A:P,8.6/CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H,"CWE-59,CWE-22",XRAY-184005,FALSE,npm://tar:2.2.1,tar:2.2.1
"The npm package ""tar"" (aka node-tar) before versions 6.1.1, 5.0.6, 4.4.14, and 3.3.2 has a arbitrary File Creation/Overwrite vulnerability due to insufficient absolute path sanitization. node-tar aims to prevent extraction of absolute file paths by turning absolute paths into relative paths when the `preservePaths` flag is not set to `true`. This is achieved by stripping the absolute path root from any absolute file paths contained in a tar file. For example `/home/user/.bashrc` would turn into `home/user/.bashrc`. This logic was insufficient when file paths contained repeated path roots such as `////home/user/.bashrc`. `node-tar` would only strip a single path root from such paths. When given an absolute file path with repeating path roots, the resulting path (e.g. `///home/user/.bashrc`) would still resolve to an absolute path, thus allowing arbitrary file creation and overwrite. This issue was addressed in releases 3.2.2, 4.4.14, 5.0.6 and 6.1.1. Users may work around this vulnerability without upgrading by creating a custom `onentry` method which sanitizes the `entry.path` or a `filter` method which removes entries with absolute paths. See referenced GitHub Advisory for details. Be aware of CVE-2021-32803 which fixes a similar bug in later versions of tar.",CVE-2021-32804,High,security,JFrog,tar,"< 3.2.2,4.0.0 ≤ Version < 4.4.14,5.0.0 ≤ Version < 5.0.6,6.0.0 ≤ Version < 6.1.1","3.2.2,4.4.14,5.0.6,6.1.1",2023-02-01T21:15:22-05:00,tar,5.8/CVSS:2.0/AV:N/AC:M/Au:N/C:N/I:P/A:P,8.1/CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:H/A:H,CWE-22,XRAY-180789,FALSE,npm://tar:2.2.1,tar:2.2.1
"fstream before 1.0.12 is vulnerable to Arbitrary File Overwrite. Extracting tarballs containing a hardlink to a file that already exists in the system, and a file that matches the hardlink, will overwrite the system's file with the contents of the extracted file. The fstream.DirWriter() function is vulnerable.",CVE-2019-13173,High,security,JFrog,fstream,< 1.0.12,1.0.12,2023-02-01T21:17:13-05:00,fstream,6.4/CVSS:2.0/AV:N/AC:L/Au:N/C:N/I:P/A:P,7.5/CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,CWE-59,XRAY-84515,FALSE,npm://fstream:1.0.10,fstream:1.0.10
marked lib/marked.js inline() Function Regular Expresssion Handling DoS,,High,security,JFrog,marked,< 0.3.18,0.3.18,2020-04-08T07:57:02-04:00,marked,,,,XRAY-78213,FALSE,npm://marked:0.3.9,marked:0.3.9
is-my-json-valid Package for Node.js index.js formatName() Function Schema Handling Arbitrary Code Execution,,High,security,JFrog,is-my-json-valid,2.11.0 ≤ Version < 2.20.3,2.20.3,2022-02-15T09:01:32-05:00,is-my-json-valid,,,,XRAY-115883,FALSE,npm://is-my-json-valid:2.15.0,is-my-json-valid:2.15.0
"The uglify-js package before 2.6.0 for Node.js allows attackers to cause a denial of service (CPU consumption) via crafted input in a parse call, aka a ""regular expression denial of service (ReDoS).""",CVE-2015-8858,High,security,JFrog,uglify-js,< 2.6.0,2.6.0,2023-02-01T21:16:25-05:00,uglify-js,7.8/CVSS:2.0/AV:N/AC:L/Au:N/C:N/I:N/A:C,7.5/CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-399,XRAY-72508,FALSE,npm://uglify-js:2.4.24,uglify-js:2.4.24
"The npm package ""tar"" (aka node-tar) before versions 4.4.18, 5.0.10, and 6.1.9 has an arbitrary file creation/overwrite and arbitrary code execution vulnerability. node-tar aims to guarantee that any file whose location would be outside of the extraction target directory is not extracted. This is, in part, accomplished by sanitizing absolute paths of entries within the archive, skipping archive entries that contain `..` path portions, and resolving the sanitized paths against the extraction target directory. This logic was insufficient on Windows systems when extracting tar files that contained a path that was not an absolute path, but specified a drive letter different from the extraction target, such as `C:some\path`. If the drive letter does not match the extraction target, for example `D:\extraction\dir`, then the result of `path.resolve(extractionDirectory, entryPath)` would resolve against the current working directory on the `C:` drive, rather than the extraction target directory. Additionally, a `..` portion of the path could occur immediately after the drive letter, such as `C:../foo`, and was not properly sanitized by the logic that checked for `..` within the normalized and split portions of the path. This only affects users of `node-tar` on Windows systems. These issues were addressed in releases 4.4.18, 5.0.10 and 6.1.9. The v3 branch of node-tar has been deprecated and did not receive patches for these issues. If you are still using a v3 release we recommend you update to a more recent version of node-tar. There is no reasonable way to work around this issue without performing the same path normalization procedures that node-tar now does. Users are encouraged to upgrade to the latest patched versions of node-tar, rather than attempt to sanitize paths themselves.",CVE-2021-37713,High,security,JFrog,tar,"< 4.4.18,5.0.0 ≤ Version < 5.0.10,6.0.0 ≤ Version < 6.1.9","4.4.18,5.0.10,6.1.9",2023-02-01T21:17:39-05:00,tar,4.4/CVSS:2.0/AV:L/AC:M/Au:N/C:P/I:P/A:P,8.6/CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H,CWE-22,XRAY-184003,FALSE,npm://tar:2.2.1,tar:2.2.1
Lodash versions prior to 4.17.21 are vulnerable to Command Injection via the template function.,CVE-2021-23337,High,security,JFrog,lodash,< 4.17.21,4.17.21,2023-02-01T21:16:02-05:00,lodash,6.5/CVSS:2.0/AV:N/AC:L/Au:S/C:P/I:P/A:P,7.2/CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,CWE-94,XRAY-140575,FALSE,npm://lodash:4.17.15,lodash:4.17.15
Handlebars before 4.4.5 allows Regular Expression Denial of Service (ReDoS) because of eager matching. The parser may be forced into an endless loop while processing crafted templates. This may allow attackers to exhaust system resources.,CVE-2019-20922,High,security,JFrog,handlebars,4.0.0 ≤ Version < 4.4.5,4.4.5,2023-02-01T21:16:58-05:00,handlebars,7.8/CVSS:2.0/AV:N/AC:L/Au:N/C:N/I:N/A:C,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-400,XRAY-125691,FALSE,npm://handlebars:4.0.5,handlebars:4.0.5
Lodash versions prior to 4.17.21 are vulnerable to Command Injection via the template function.,CVE-2021-23337,High,security,JFrog,lodash,< 4.17.21,4.17.21,2023-02-01T21:16:02-05:00,lodash,6.5/CVSS:2.0/AV:N/AC:L/Au:S/C:P/I:P/A:P,7.2/CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,CWE-94,XRAY-140575,TRUE,npm://lodash:4.17.19,lodash:4.17.19
"moment is a JavaScript date library for parsing, validating, manipulating, and formatting dates. Affected versions of moment were found to use an inefficient parsing algorithm. Specifically using string-to-date parsing in moment (more specifically rfc2822 parsing, which is tried by default) has quadratic (N^2) complexity on specific inputs. Users may notice a noticeable slowdown is observed with inputs above 10k characters. Users who pass user-provided strings without sanity length checks to moment constructor are vulnerable to (Re)DoS attacks. The problem is patched in 2.29.4, the patch can be applied to all affected versions with minimal tweaking. Users are advised to upgrade. Users unable to upgrade should consider limiting date lengths accepted from user input.",CVE-2022-31129,High,security,JFrog,moment,2.18.0 ≤ Version < 2.29.4,2.29.4,2023-02-01T21:16:56-05:00,moment,5.0/CVSS:2.0/AV:N/AC:L/Au:N/C:N/I:N/A:P,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-400,XRAY-230783,FALSE,npm://moment:2.24.0,moment:2.24.0
Hawk before 3.1.3 and 4.x before 4.1.1 allow remote attackers to cause a denial of service (CPU consumption or partial outage) via a long (1) header or (2) URI that is matched against an improper regular expression.,CVE-2016-2515,High,security,JFrog,hawk,"< 3.1.3,4.0.0 ≤ Version < 4.1.1","3.1.3,4.1.1",2023-02-01T21:15:27-05:00,hawk,7.8/CVSS:2.0/AV:N/AC:L/Au:N/C:N/I:N/A:C,7.5/CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-399,XRAY-73076,FALSE,npm://hawk:1.0.0,hawk:1.0.0
