Component,,,CVE
org.apache.camel:camel-jsonpath:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-jsonpath:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-jsonpath:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-jsonpath:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-jsonpath:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-jt400:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-jt400:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-jt400:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-jt400:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-jt400:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-jt400:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-juel:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-juel:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-juel:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-juel:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-juel:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-juel:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-jxpath:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-jxpath:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-jxpath:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-jxpath:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-jxpath:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-jxpath:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-kafka:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-kafka:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-kafka:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-kafka:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-kafka:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-kafka:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-kestrel:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-kestrel:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-kestrel:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-kestrel:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-kestrel:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-kestrel:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-krati:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-krati:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-krati:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-krati:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-krati:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-krati:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-kura:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-kura:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-kura:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-kura:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-kura:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-kura:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-ldap:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-ldap:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-ldap:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-ldap:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-ldap:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-ldap:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-leveldb:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-leveldb:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-leveldb:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-leveldb:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-leveldb:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-leveldb:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-linkedin-api:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-linkedin-api:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-linkedin-api:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-linkedin-api:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-linkedin-api:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-linkedin-api:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-linkedin:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-linkedin:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-linkedin:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-linkedin:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-linkedin:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-linkedin:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-lucene:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-lucene:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-lucene:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-lucene:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-lucene:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-lucene:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-mail:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-mail:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-mail:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-mail:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-mail:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-mail:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-metrics:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-metrics:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-metrics:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-metrics:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-metrics:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-metrics:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-mina2:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-mina2:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-mina2:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-mina2:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-mina2:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-mina2:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-mina:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-mina:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-mina:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-mina:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-mina:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-mina:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-mongodb:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-mongodb:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-mongodb:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-mongodb:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-mongodb:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-mongodb:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-mqtt:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-mqtt:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-mqtt:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-mqtt:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-mqtt:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-mqtt:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-msv:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-msv:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-msv:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-msv:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-msv:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-msv:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-mustache:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-mustache:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-mustache:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-mustache:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-mustache:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-mustache:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-mvel:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-mvel:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-mvel:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-mvel:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-mvel:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-mvel:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-mybatis:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-mybatis:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-mybatis:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-mybatis:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-mybatis:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-mybatis:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-nagios:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-nagios:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-nagios:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-nagios:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-nagios:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-nagios:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-netty-http:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-netty-http:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-netty-http:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-netty-http:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-netty-http:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-netty-http:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-netty4-http:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-netty4-http:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-netty4-http:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-netty4-http:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-netty4-http:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-netty4-http:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-netty4:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-netty4:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-netty4:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-netty4:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-netty4:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-netty4:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-netty:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-netty:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-netty:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-netty:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-netty:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-netty:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-ognl:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-ognl:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-ognl:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-ognl:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-ognl:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-ognl:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-olingo2-api:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-olingo2-api:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-olingo2-api:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-olingo2-api:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-olingo2-api:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-olingo2-api:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-olingo2:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-olingo2:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-olingo2:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-olingo2:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-olingo2:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-olingo2:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-openshift:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-openshift:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-openshift:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-openshift:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-openshift:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-openshift:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-optaplanner:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-optaplanner:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-optaplanner:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-optaplanner:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-optaplanner:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-optaplanner:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-paho:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-paho:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-paho:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-paho:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-paho:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-paho:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-paxlogging:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-paxlogging:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-paxlogging:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-paxlogging:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-paxlogging:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-paxlogging:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-pdf:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-pdf:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-pdf:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-pdf:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-pdf:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-pdf:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-pgevent:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-pgevent:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-pgevent:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-pgevent:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-pgevent:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-pgevent:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-printer:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-printer:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-printer:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-printer:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-printer:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-printer:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-protobuf:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-protobuf:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-protobuf:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-protobuf:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-protobuf:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-protobuf:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-quartz2:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-quartz2:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-quartz2:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-quartz2:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-quartz2:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-quartz2:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-quartz:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-quartz:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-quartz:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-quartz:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-quartz:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-quartz:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-quickfix:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-quickfix:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-quickfix:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-quickfix:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-quickfix:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-quickfix:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-rabbitmq:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-rabbitmq:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-rabbitmq:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-rabbitmq:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-rabbitmq:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-rabbitmq:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-restlet:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-restlet:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-restlet:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-restlet:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-restlet:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-restlet:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-rmi:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-rmi:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-rmi:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-rmi:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-rmi:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-rmi:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-routebox:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-routebox:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-routebox:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-routebox:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-routebox:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-routebox:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-rss:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-rss:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
org.apache.camel:camel-rss:2.19.5,BDSA-2018-4880 ,CVE-2019-0188,CVE-2019-0188
org.apache.camel:camel-rss:2.19.5,BDSA-2020-1132 ,CVE-2020-11972,CVE-2020-11972
org.apache.camel:camel-rss:2.19.5,BDSA-2020-1131 ,CVE-2020-11971,CVE-2020-11971
org.apache.camel:camel-rss:2.19.5,BDSA-2024-0477,,BDSA-2024-0477
org.apache.camel:camel-ruby:2.19.5,BDSA-2018-2585,,BDSA-2018-2585
org.apache.camel:camel-ruby:2.19.5,BDSA-2018-3185,,BDSA-2018-3185
